Athlete_Comp_ID,Athlete_name,Gender,age_yrs,Nation,Judge_1_Score,Judge_2_Score,Judge_3_Score,Judge_4_Score,Judge_5_Score,Judge_6_Score_1,Judge_7_Score_1,Major_Finalist,Major_Medalist,Olympic_Finalist,Olympic_Medalist,Temp_Snow,Temp_Air,Wind,Season,Season_Comp,Round,Score_Metric,Finish_Rank
FUKUSHIMA Shunka - JPN - North American Cup 2 - 2019 - Final 2,FUKUSHIMA Shunka - JPN,Women,21.0,JPN,17.2,16.8,17.0,17.2,16.8,8.2,8.1,0,0,0,0,0.0,0.0,0.0,2019,2019-North American Cup 2,Final 2,80.72,1
DELSAME Florence - CAN - North American Cup 2 - 2019 - Final 1,DELSAME Florence - CAN,Women,19.0,CAN,16.4,16.4,16.3,16.8,16.6,7.3,8.1,0,0,0,0,0.0,0.0,0.0,2019,2019-North American Cup 2,Final 1,70.66,13
HOGG Kasey - USA - North American Cup 1 - 2019 - Final 1,HOGG Kasey - USA,Women,17.0,USA,15.8,16.6,16.4,16.0,16.2,8.1,7.4,0,0,0,0,0.0,0.0,0.0,2019,2019-North American Cup 1,Final 1,73.07,5
DESMARAIS GILBERT Laurianne - CAN - North American Cup 1 - 2019 - Final 1,DESMARAIS GILBERT Laurianne - CAN,Women,23.0,CAN,15.7,15.7,15.6,15.7,15.6,8.0,7.2,0,0,0,0,0.0,0.0,0.0,2019,2019-North American Cup 1,Final 1,67.95,12
RYAN Maggie - USA - North American Cup 2 - 2019 - Final 1,RYAN Maggie - USA,Women,22.0,USA,17.3,16.7,16.7,16.7,16.9,9.0,8.8,0,0,0,0,0.0,0.0,0.0,2019,2019-North American Cup 2,Final 1,78.5,2
CASS Sabrina - USA - North American Cup 1 - 2019 - Final 1,CASS Sabrina - USA,Women,18.0,USA,16.2,16.1,15.6,13.8,15.0,6.0,5.0,0,0,0,0,0.0,0.0,0.0,2019,2019-North American Cup 1,Final 1,65.07,14
DESMARAIS GILBERT Laurianne - CAN - North American Cup 2 - 2019 - Final 1,DESMARAIS GILBERT Laurianne - CAN,Women,23.0,CAN,16.9,17.0,16.7,16.9,16.8,8.9,9.1,0,0,0,0,0.0,0.0,0.0,2019,2019-North American Cup 2,Final 1,74.96,9
STEWART Georgia - AUS - North American Cup 1 - 2019 - Final 1,STEWART Georgia - AUS,Women,20.0,AUS,14.3,14.9,15.0,14.3,14.0,8.0,7.4,0,0,0,0,0.0,0.0,0.0,2019,2019-North American Cup 1,Final 1,64.51,15
KARIOTIS Ali - USA - North American Cup 1 - 2019 - Final 2,KARIOTIS Ali - USA,Women,25.0,USA,14.8,16.3,15.5,15.1,15.7,8.0,8.4,0,0,0,0,0.0,0.0,0.0,2019,2019-North American Cup 1,Final 2,72.64,4
KOEHLER Kaylee - CAN - North American Cup 2 - 2019 - Final 1,KOEHLER Kaylee - CAN,Women,17.0,CAN,17.0,17.1,16.9,16.5,16.6,7.9,8.3,0,0,0,0,0.0,0.0,0.0,2019,2019-North American Cup 2,Final 1,77.01,6
RADWAY Kenzie - USA - North American Cup 1 - 2019 - Final 2,RADWAY Kenzie - USA,Women,17.0,USA,15.8,17.6,15.7,17.1,16.0,8.3,8.4,0,0,0,0,0.0,0.0,0.0,2019,2019-North American Cup 1,Final 2,76.94,2
ONEILL Taylah - AUS - North American Cup 1 - 2019 - Final 2,ONEILL Taylah - AUS,Women,26.0,AUS,15.4,15.2,15.7,14.0,13.5,8.5,8.2,0,0,0,0,0.0,0.0,0.0,2019,2019-North American Cup 1,Final 2,40.44,6
SCHWINGHAMER Mackenzie - CAN - North American Cup 2 - 2019 - Final 1,SCHWINGHAMER Mackenzie - CAN,Women,21.0,CAN,17.0,16.8,17.3,16.9,17.1,6.7,7.0,0,0,0,0,0.0,0.0,0.0,2019,2019-North American Cup 2,Final 1,77.51,4
FUKUSHIMA Shunka - JPN - North American Cup 2 - 2019 - Final 1,FUKUSHIMA Shunka - JPN,Women,21.0,JPN,17.2,16.6,17.0,17.3,16.8,8.1,8.4,0,0,0,0,0.0,0.0,0.0,2019,2019-North American Cup 2,Final 1,80.41,1
CASS Sabrina - USA - North American Cup 2 - 2019 - Final 1,CASS Sabrina - USA,Women,18.0,USA,16.8,16.8,16.5,16.6,17.0,6.5,6.9,0,0,0,0,0.0,0.0,0.0,2019,2019-North American Cup 2,Final 1,74.14,10
GUELI Claudia - AUS - North American Cup 1 - 2019 - Final 1,GUELI Claudia - AUS,Women,23.0,AUS,16.5,16.7,16.6,16.9,16.0,5.1,4.7,0,0,0,0,0.0,0.0,0.0,2019,2019-North American Cup 1,Final 1,68.31,11
WARE Tori - USA - North American Cup 2 - 2019 - Final 1,WARE Tori - USA,Women,20.0,USA,15.5,15.9,15.7,16.2,16.1,6.9,7.4,0,0,0,0,0.0,0.0,0.0,2019,2019-North American Cup 2,Final 1,68.75,14
OWENS Kai - USA - North American Cup 1 - 2019 - Final 2,OWENS Kai - USA,Women,16.0,USA,15.9,17.3,15.6,16.6,15.6,9.3,8.9,0,0,0,0,0.0,0.0,0.0,2019,2019-North American Cup 1,Final 2,77.71,1
KAWATA Yuka - JPN - North American Cup 1 - 2019 - Final 1,KAWATA Yuka - JPN,Women,22.0,JPN,14.8,15.2,15.5,13.9,15.2,4.2,4.3,0,0,0,0,0.0,0.0,0.0,2019,2019-North American Cup 1,Final 1,61.21,16
RADWAY Kenzie - USA - North American Cup 2 - 2019 - Final 1,RADWAY Kenzie - USA,Women,17.0,USA,16.7,16.9,16.5,16.9,17.0,8.5,8.6,0,0,0,0,0.0,0.0,0.0,2019,2019-North American Cup 2,Final 1,77.99,3
TANIGUCHI Ayaho - JPN - North American Cup 2 - 2019 - Final 1,TANIGUCHI Ayaho - JPN,Women,24.0,JPN,17.1,16.2,17.2,16.4,16.5,6.9,7.2,0,0,0,0,0.0,0.0,0.0,2019,2019-North American Cup 2,Final 1,73.97,11
OWENS Kai - USA - North American Cup 1 - 2019 - Final 1,OWENS Kai - USA,Women,16.0,USA,16.4,16.9,15.8,15.3,16.6,8.5,8.3,0,0,0,0,0.0,0.0,0.0,2019,2019-North American Cup 1,Final 1,76.99,2
RYAN Maggie - USA - North American Cup 1 - 2019 - Final 1,RYAN Maggie - USA,Women,22.0,USA,15.4,15.4,15.3,15.4,14.6,8.7,7.4,0,0,0,0,0.0,0.0,0.0,2019,2019-North American Cup 1,Final 1,68.46,10
HOGG Madison - USA - North American Cup 1 - 2019 - Final 1,HOGG Madison - USA,Women,19.0,USA,16.2,15.7,17.1,16.1,15.7,8.3,7.6,0,0,0,0,0.0,0.0,0.0,2019,2019-North American Cup 1,Final 1,74.88,3
SCHWINGHAMER Mackenzie - CAN - North American Cup 2 - 2019 - Final 2,SCHWINGHAMER Mackenzie - CAN,Women,21.0,CAN,16.8,16.9,16.5,16.4,16.0,6.7,6.5,0,0,0,0,0.0,0.0,0.0,2019,2019-North American Cup 2,Final 2,72.06,5
RADWAY Kenzie - USA - North American Cup 2 - 2019 - Final 2,RADWAY Kenzie - USA,Women,17.0,USA,17.0,17.1,16.8,16.5,16.9,8.9,9.3,0,0,0,0,0.0,0.0,0.0,2019,2019-North American Cup 2,Final 2,79.84,2
ONEILL Taylah - AUS - North American Cup 2 - 2019 - Final 1,ONEILL Taylah - AUS,Women,26.0,AUS,16.7,16.8,16.7,16.4,16.6,8.0,8.4,0,0,0,0,0.0,0.0,0.0,2019,2019-North American Cup 2,Final 1,77.47,5
RADWAY Kenzie - USA - North American Cup 1 - 2019 - Final 1,RADWAY Kenzie - USA,Women,17.0,USA,16.2,17.2,16.1,17.4,16.2,7.6,8.4,0,0,0,0,0.0,0.0,0.0,2019,2019-North American Cup 1,Final 1,77.56,1
ONEILL Taylah - AUS - North American Cup 2 - 2019 - Final 2,ONEILL Taylah - AUS,Women,26.0,AUS,16.6,17.4,16.9,16.7,17.4,9.1,9.2,0,0,0,0,0.0,0.0,0.0,2019,2019-North American Cup 2,Final 2,78.11,3
ASH Sophie - AUS - North American Cup 1 - 2019 - Final 1,ASH Sophie - AUS,Women,24.0,AUS,16.0,16.9,15.6,16.1,16.5,8.4,7.4,0,0,0,0,0.0,0.0,0.0,2019,2019-North American Cup 1,Final 1,71.32,7
KAWATA Yuka - JPN - North American Cup 2 - 2019 - Final 1,KAWATA Yuka - JPN,Women,22.0,JPN,16.8,16.9,16.5,16.5,16.9,8.0,8.2,0,0,0,0,0.0,0.0,0.0,2019,2019-North American Cup 2,Final 1,76.13,8
KARIOTIS Ali - USA - North American Cup 1 - 2019 - Final 1,KARIOTIS Ali - USA,Women,25.0,USA,15.7,16.4,16.7,15.5,16.4,6.7,6.4,0,0,0,0,0.0,0.0,0.0,2019,2019-North American Cup 1,Final 1,73.57,4
RYAN Maggie - USA - North American Cup 2 - 2019 - Final 2,RYAN Maggie - USA,Women,22.0,USA,16.9,17.1,16.7,16.9,16.9,9.0,9.1,0,0,0,0,0.0,0.0,0.0,2019,2019-North American Cup 2,Final 2,76.62,4
HOGG Kasey - USA - North American Cup 1 - 2019 - Final 2,HOGG Kasey - USA,Women,17.0,USA,15.1,16.1,15.8,14.6,14.8,8.0,8.1,0,0,0,0,0.0,0.0,0.0,2019,2019-North American Cup 1,Final 2,68.52,5
HOGG Madison - USA - North American Cup 1 - 2019 - Final 2,HOGG Madison - USA,Women,19.0,USA,15.3,16.7,16.2,15.9,15.6,8.7,8.5,0,0,0,0,0.0,0.0,0.0,2019,2019-North American Cup 1,Final 2,75.92,3
GUELI Claudia - AUS - North American Cup 2 - 2019 - Final 1,GUELI Claudia - AUS,Women,23.0,AUS,16.6,16.7,16.8,16.7,17.0,8.0,8.1,0,0,0,0,0.0,0.0,0.0,2019,2019-North American Cup 2,Final 1,76.32,7
ONEILL Taylah - AUS - North American Cup 1 - 2019 - Final 1,ONEILL Taylah - AUS,Women,26.0,AUS,16.5,17.1,16.0,14.7,16.5,8.2,7.8,0,0,0,0,0.0,0.0,0.0,2019,2019-North American Cup 1,Final 1,72.87,6
TANIGUCHI Ayaho - JPN - North American Cup 1 - 2019 - Final 1,TANIGUCHI Ayaho - JPN,Women,24.0,JPN,16.5,15.9,15.8,14.7,15.7,7.8,8.1,0,0,0,0,0.0,0.0,0.0,2019,2019-North American Cup 1,Final 1,69.6,9
MACUGA Alli - USA - North American Cup 1 - 2019 - Final 1,MACUGA Alli - USA,Women,17.0,USA,15.0,15.4,16.1,15.6,15.4,6.8,7.4,0,0,0,0,0.0,0.0,0.0,2019,2019-North American Cup 1,Final 1,66.29,13
SCHWINGHAMER Mackenzie - CAN - North American Cup 1 - 2019 - Final 1,SCHWINGHAMER Mackenzie - CAN,Women,21.0,CAN,15.6,16.0,15.4,15.5,16.0,7.8,6.8,0,0,0,0,0.0,0.0,0.0,2019,2019-North American Cup 1,Final 1,70.23,8
KARIOTIS Ali - USA - North American Cup 2 - 2019 - Final 1,KARIOTIS Ali - USA,Women,25.0,USA,15.7,16.5,15.9,15.7,16.0,7.4,7.5,0,0,0,0,0.0,0.0,0.0,2019,2019-North American Cup 2,Final 1,73.83,12
SCHWINGHAMMER Maia - CAN - North American Cup 2 - 2018 - Final 2,SCHWINGHAMMER Maia - CAN,Women,19.0,CAN,17.0,18.0,17.6,17.3,17.4,6.7,6.7,0,0,0,0,-8.0,-8.0,0.0,2018,2018-North American Cup 2,Final 2,74.89,2
KAJIWARA Yuki - JPN - North American Cup 2 - 2018 - Final 2,KAJIWARA Yuki - JPN,Women,18.0,JPN,17.6,17.1,16.5,16.2,16.6,6.7,6.7,0,0,0,0,-8.0,-8.0,0.0,2018,2018-North American Cup 2,Final 2,71.86,4
KARIOTIS Ali - USA - North American Cup 3 - 2018 - Final 1,KARIOTIS Ali - USA,Women,25.0,USA,16.8,17.8,17.8,16.2,17.9,6.9,8.0,0,0,0,0,0.0,0.0,0.0,2018,2018-North American Cup 3,Final 1,79.23,6
SOAR Hannah - USA - North American Cup 3 - 2018 - Final 2,SOAR Hannah - USA,Women,21.0,USA,17.6,17.8,18.4,17.1,18.0,6.6,7.5,0,0,0,0,0.0,0.0,0.0,2018,2018-North American Cup 3,Final 2,80.76,1
SHIMKO Avital - USA - North American Cup 3 - 2018 - Final 1,SHIMKO Avital - USA,Women,24.0,USA,17.2,18.8,18.8,18.0,18.5,6.4,7.6,0,0,0,0,0.0,0.0,0.0,2018,2018-North American Cup 3,Final 1,82.45,1
KARIOTIS Ali - USA - North American Cup 2 - 2018 - Final 1,KARIOTIS Ali - USA,Women,25.0,USA,17.1,17.4,17.1,17.2,17.5,5.8,6.0,0,0,0,0,-8.0,-8.0,0.0,2018,2018-North American Cup 2,Final 1,73.99,3
O CONNELL Elizabeth - USA - North American Cup 3 - 2018 - Final 1,O CONNELL Elizabeth - USA,Women,24.0,USA,16.4,18.0,17.3,16.7,17.8,6.5,7.3,0,0,0,0,0.0,0.0,0.0,2018,2018-North American Cup 3,Final 1,79.88,5
BROWN Berkley - CAN - North American Cup 3 - 2018 - Final 1,BROWN Berkley - CAN,Women,20.0,CAN,17.1,18.1,17.9,16.3,18.3,7.6,8.0,0,0,0,0,0.0,0.0,0.0,2018,2018-North American Cup 3,Final 1,81.7,3
NISHITA Reika - JPN - North American Cup 1 - 2018 - Final 1,NISHITA Reika - JPN,Women,20.0,JPN,15.9,16.0,16.6,16.2,16.5,7.2,6.6,0,0,0,0,0.0,0.0,0.0,2018,2018-North American Cup 1,Final 1,73.16,11
RADWAY Kenzie - USA - North American Cup 1 - 2018 - Final 1,RADWAY Kenzie - USA,Women,17.0,USA,15.4,16.0,16.0,15.6,15.6,6.2,5.9,0,0,0,0,0.0,0.0,0.0,2018,2018-North American Cup 1,Final 1,69.14,15
SOAR Hannah - USA - North American Cup 3 - 2018 - Final 1,SOAR Hannah - USA,Women,21.0,USA,16.5,17.0,18.5,17.4,18.0,7.5,7.8,0,0,0,0,0.0,0.0,0.0,2018,2018-North American Cup 3,Final 1,81.86,2
KARIOTIS Ali - USA - North American Cup 3 - 2018 - Final 2,KARIOTIS Ali - USA,Women,25.0,USA,17.0,17.4,18.3,16.6,17.3,6.5,7.3,0,0,0,0,0.0,0.0,0.0,2018,2018-North American Cup 3,Final 2,77.97,5
O CONNELL Elizabeth - USA - North American Cup 1 - 2018 - Final 2,O CONNELL Elizabeth - USA,Women,24.0,USA,16.9,15.4,16.9,16.5,16.7,4.8,4.2,0,0,0,0,0.0,0.0,0.0,2018,2018-North American Cup 1,Final 2,74.99,4
SCHWINGHAMER Mackenzie - CAN - North American Cup 2 - 2018 - Final 1,SCHWINGHAMER Mackenzie - CAN,Women,21.0,CAN,16.4,15.9,16.3,16.0,16.2,6.3,5.9,0,0,0,0,-8.0,-8.0,0.0,2018,2018-North American Cup 2,Final 1,68.33,10
SHIMKO Avital - USA - North American Cup 1 - 2018 - Final 2,SHIMKO Avital - USA,Women,24.0,USA,17.5,17.4,17.5,17.4,17.2,7.7,7.9,0,0,0,0,0.0,0.0,0.0,2018,2018-North American Cup 1,Final 2,80.26,2
GILBERT Valerie - CAN - North American Cup 1 - 2018 - Final 2,GILBERT Valerie - CAN,Women,22.0,CAN,16.7,17.3,17.2,16.9,17.0,7.4,7.8,0,0,0,0,0.0,0.0,0.0,2018,2018-North American Cup 1,Final 2,80.7,1
GAGNON Sofiane - CAN - North American Cup 1 - 2018 - Final 2,GAGNON Sofiane - CAN,Women,21.0,CAN,17.0,17.0,17.3,16.6,16.6,8.5,8.2,0,0,0,0,0.0,0.0,0.0,2018,2018-North American Cup 1,Final 2,76.35,3
O CONNELL Elizabeth - USA - North American Cup 3 - 2018 - Final 2,O CONNELL Elizabeth - USA,Women,24.0,USA,16.6,17.0,16.8,16.3,16.5,5.2,6.6,0,0,0,0,0.0,0.0,0.0,2018,2018-North American Cup 3,Final 2,76.52,6
O CONNELL Elizabeth - USA - North American Cup 2 - 2018 - Final 1,O CONNELL Elizabeth - USA,Women,24.0,USA,15.8,16.2,17.0,16.7,17.6,5.5,5.6,0,0,0,0,-8.0,-8.0,0.0,2018,2018-North American Cup 2,Final 1,72.21,6
MICKEL Trudy - USA - North American Cup 3 - 2018 - Final 1,MICKEL Trudy - USA,Women,19.0,USA,16.4,16.9,17.5,16.6,16.8,7.4,6.9,0,0,0,0,0.0,0.0,0.0,2018,2018-North American Cup 3,Final 1,74.24,10
KLOSER Heidi - USA - North American Cup 2 - 2018 - Final 1,KLOSER Heidi - USA,Women,28.0,USA,16.8,14.9,15.9,15.7,16.0,5.8,5.6,0,0,0,0,-8.0,-8.0,0.0,2018,2018-North American Cup 2,Final 1,68.21,11
JENSON Alex - USA - North American Cup 1 - 2018 - Final 2,JENSON Alex - USA,Women,25.0,USA,16.0,15.0,16.5,15.1,15.6,6.1,6.3,0,0,0,0,0.0,0.0,0.0,2018,2018-North American Cup 1,Final 2,39.13,6
SCHWINGHAMER Mackenzie - CAN - North American Cup 3 - 2018 - Final 1,SCHWINGHAMER Mackenzie - CAN,Women,21.0,CAN,17.2,17.3,18.4,16.3,18.1,6.4,8.3,0,0,0,0,0.0,0.0,0.0,2018,2018-North American Cup 3,Final 1,79.98,4
TUDHOPE Phoebe - AUS - North American Cup 2 - 2018 - Final 1,TUDHOPE Phoebe - AUS,Women,23.0,AUS,16.1,16.0,15.0,15.4,15.0,5.5,5.2,0,0,0,0,-8.0,-8.0,0.0,2018,2018-North American Cup 2,Final 1,62.07,12
SCHWINGHAMER Mackenzie - CAN - North American Cup 3 - 2018 - Final 2,SCHWINGHAMER Mackenzie - CAN,Women,21.0,CAN,17.3,17.6,17.8,16.8,17.6,7.2,8.0,0,0,0,0,0.0,0.0,0.0,2018,2018-North American Cup 3,Final 2,79.91,3
HOGG Madison - USA - North American Cup 2 - 2018 - Final 1,HOGG Madison - USA,Women,19.0,USA,16.5,15.6,16.2,16.2,16.5,4.6,5.5,0,0,0,0,-8.0,-8.0,0.0,2018,2018-North American Cup 2,Final 1,69.43,7
KLOSER Heidi - USA - North American Cup 1 - 2018 - Final 1,KLOSER Heidi - USA,Women,28.0,USA,17.4,17.2,17.1,17.6,17.3,5.9,5.9,0,0,0,0,0.0,0.0,0.0,2018,2018-North American Cup 1,Final 1,78.3,4
HOGG Madison - USA - North American Cup 3 - 2018 - Final 1,HOGG Madison - USA,Women,19.0,USA,17.0,16.8,16.9,16.8,16.9,8.2,7.8,0,0,0,0,0.0,0.0,0.0,2018,2018-North American Cup 3,Final 1,78.44,7
GIACCIO Olivia - USA - North American Cup 2 - 2018 - Final 1,GIACCIO Olivia - USA,Women,20.0,USA,16.8,17.5,16.7,16.0,17.2,6.9,5.6,0,0,0,0,-8.0,-8.0,0.0,2018,2018-North American Cup 2,Final 1,38.44,15
O CONNELL Elizabeth - USA - North American Cup 2 - 2018 - Final 2,O CONNELL Elizabeth - USA,Women,24.0,USA,16.9,16.1,16.1,15.0,16.8,5.3,5.7,0,0,0,0,-8.0,-8.0,0.0,2018,2018-North American Cup 2,Final 2,71.07,5
DESMARAIS GILBERT Laurianne - CAN - North American Cup 3 - 2018 - Final 1,DESMARAIS GILBERT Laurianne - CAN,Women,23.0,CAN,16.6,16.6,16.6,16.4,16.7,6.3,7.6,0,0,0,0,0.0,0.0,0.0,2018,2018-North American Cup 3,Final 1,75.48,9
GAGNON Sofiane - CAN - North American Cup 3 - 2018 - Final 1,GAGNON Sofiane - CAN,Women,21.0,CAN,16.5,17.9,18.3,17.3,17.9,8.3,8.5,0,0,0,0,0.0,0.0,0.0,2018,2018-North American Cup 3,Final 1,64.08,13
KLOSER Heidi - USA - North American Cup 3 - 2018 - Final 1,KLOSER Heidi - USA,Women,28.0,USA,17.0,17.3,18.0,17.0,17.6,7.0,7.2,0,0,0,0,0.0,0.0,0.0,2018,2018-North American Cup 3,Final 1,78.39,8
HOGG Kasey - USA - North American Cup 1 - 2018 - Final 1,HOGG Kasey - USA,Women,17.0,USA,16.0,16.3,16.4,16.5,16.6,5.3,4.2,0,0,0,0,0.0,0.0,0.0,2018,2018-North American Cup 1,Final 1,74.44,8
SHIMKO Avital - USA - North American Cup 2 - 2018 - Final 2,SHIMKO Avital - USA,Women,24.0,USA,18.1,18.1,17.7,17.2,17.9,6.2,6.1,0,0,0,0,-8.0,-8.0,0.0,2018,2018-North American Cup 2,Final 2,75.37,1
SHIMKO Avital - USA - North American Cup 3 - 2018 - Final 2,SHIMKO Avital - USA,Women,24.0,USA,17.9,18.4,18.9,17.4,18.2,6.8,6.5,0,0,0,0,0.0,0.0,0.0,2018,2018-North American Cup 3,Final 2,80.56,2
