Athlete_Comp_ID,Athlete_name,Gender,age_yrs,Nation,Judge_1_Score,Judge_2_Score,Judge_3_Score,Judge_4_Score,Judge_5_Score,Judge_6_Score_1,Judge_7_Score_1,Major_Finalist,Major_Medalist,Olympic_Finalist,Olympic_Medalist,Temp_Snow,Temp_Air,Wind,Season,Season_Comp,Round,Score_Metric,Finish_Rank
KOBER Jordan - CAN - Canadian Selections 1 - 2019 - Final 1,KOBER Jordan - CAN,Men,24.0,CAN,17.7,17.7,18.6,17.8,17.4,5.6,5.4,0,0,0,0,0.0,0.0,0.0,2019,2019-Canadian Selections 1,Final 1,74.89,4
CORDELL Sam - CAN - Canadian Selections 1 - 2019 - Final 1,CORDELL Sam - CAN,Men,20.0,CAN,17.8,16.9,16.4,17.2,16.6,5.1,4.2,0,0,0,0,0.0,0.0,0.0,2019,2019-Canadian Selections 1,Final 1,68.96,9
GOODISON Samuel - CAN - Canada Cup 2 - 2019 - Final 1,GOODISON Samuel - CAN,Men,,CAN,16.6,16.5,16.6,15.7,17.1,8.6,8.9,0,0,0,0,0.0,0.0,0.0,2019,2019-Canada Cup 2,Final 1,68.91,3
DESAUTELS Mats - CAN - Canada Cup 1 - 2019 - Final 1,DESAUTELS Mats - CAN,Men,,CAN,16.9,17.1,16.4,16.4,15.8,7.9,8.0,0,0,0,0,0.0,-22.0,0.0,2019,2019-Canada Cup 1,Final 1,74.95,5
CHALIFOUX Louis David - CAN - Canadian Selections 1 - 2019 - Final 1,CHALIFOUX Louis David - CAN,Men,18.0,CAN,18.3,17.4,17.1,15.9,18.8,7.6,7.4,0,0,0,0,0.0,0.0,0.0,2019,2019-Canadian Selections 1,Final 1,40.12,19
FRECHETTE Christian - CAN - Canada Cup 1 - 2019 - Final 1,FRECHETTE Christian - CAN,Men,,CAN,14.5,16.2,16.0,16.3,16.1,8.1,7.9,0,0,0,0,0.0,-22.0,0.0,2019,2019-Canada Cup 1,Final 1,30.01,20
GAGNON Louis - CAN - Canada Cup 2 - 2019 - Final 1,GAGNON Louis - CAN,Men,,CAN,15.6,16.2,16.2,17.6,16.9,7.0,7.1,0,0,0,0,0.0,0.0,0.0,2019,2019-Canada Cup 2,Final 1,65.45,7
BERTRAND Felix - CAN - Canadian Selections 1 - 2019 - Final 1,BERTRAND Felix - CAN,Men,18.0,CAN,18.0,18.1,18.1,17.7,17.8,6.3,6.2,0,0,0,0,0.0,0.0,0.0,2019,2019-Canadian Selections 1,Final 1,75.74,3
THIBAULT Olivier - CAN - Canada Cup 1 - 2019 - Final 1,THIBAULT Olivier - CAN,Men,,CAN,16.0,15.9,16.2,16.2,16.4,8.0,8.2,0,0,0,0,0.0,-22.0,0.0,2019,2019-Canada Cup 1,Final 1,71.9,8
NISHIZAWA Taketo - JPN - Canadian Selections 1 - 2019 - Final 1,NISHIZAWA Taketo - JPN,Men,21.0,JPN,16.4,13.0,15.1,13.0,16.1,7.3,7.6,0,0,0,0,0.0,0.0,0.0,2019,2019-Canadian Selections 1,Final 1,64.25,15
VAN DER MERWE Dylan - CAN - Canada Cup 1 - 2019 - Final 1,VAN DER MERWE Dylan - CAN,Men,,CAN,15.0,14.2,14.8,15.9,16.0,1.9,1.9,0,0,0,0,0.0,-22.0,0.0,2019,2019-Canada Cup 1,Final 1,35.01,19
MAGA Joshua - CAN - Canada Cup 2 - 2019 - Final 1,MAGA Joshua - CAN,Men,,CAN,16.0,16.4,16.1,17.4,17.1,7.2,7.3,0,0,0,0,0.0,0.0,0.0,2019,2019-Canada Cup 2,Final 1,68.69,4
THIVIERGE Charles Olivier - CAN - Canadian Selections 1 - 2019 - Final 1,THIVIERGE Charles Olivier - CAN,Men,18.0,CAN,15.1,16.3,16.2,16.6,15.6,6.0,5.9,0,0,0,0,0.0,0.0,0.0,2019,2019-Canadian Selections 1,Final 1,66.69,11
DUBUC Jeremy - CAN - Canada Cup 1 - 2019 - Final 1,DUBUC Jeremy - CAN,Men,,CAN,15.0,16.1,15.9,15.7,15.8,7.0,7.3,0,0,0,0,0.0,-22.0,0.0,2019,2019-Canada Cup 1,Final 1,65.98,18
KANG Phillip - CAN - Canada Cup 2 - 2019 - Final 1,KANG Phillip - CAN,Men,,CAN,16.9,17.0,15.4,14.6,14.7,3.7,3.9,0,0,0,0,0.0,0.0,0.0,2019,2019-Canada Cup 2,Final 1,61.61,9
PHIPPS Koleton - CAN - Canadian Selections 1 - 2019 - Final 1,PHIPPS Koleton - CAN,Men,22.0,CAN,17.8,17.5,16.9,17.4,18.0,5.6,5.4,0,0,0,0,0.0,0.0,0.0,2019,2019-Canadian Selections 1,Final 1,73.63,5
UKRAINETZ Josh - CAN - Canada Cup 2 - 2019 - Final 1,UKRAINETZ Josh - CAN,Men,,CAN,14.4,14.8,14.6,13.1,14.1,6.4,6.6,0,0,0,0,0.0,0.0,0.0,2019,2019-Canada Cup 2,Final 1,52.6,14
THIBAULT Olivier - CAN - Canadian Selections 1 - 2019 - Final 1,THIBAULT Olivier - CAN,Men,21.0,CAN,14.9,14.8,16.7,16.4,16.6,5.7,5.4,0,0,0,0,0.0,0.0,0.0,2019,2019-Canadian Selections 1,Final 1,66.1,13
GAUTHIER Julien - CAN - Canadian Selections 1 - 2019 - Final 1,GAUTHIER Julien - CAN,Men,18.0,CAN,15.7,14.9,15.9,16.8,17.0,5.3,6.2,0,0,0,0,0.0,0.0,0.0,2019,2019-Canadian Selections 1,Final 1,62.16,16
SHIMAKAWA Takuya - JPN - Canadian Selections 1 - 2019 - Final 1,SHIMAKAWA Takuya - JPN,Men,22.0,JPN,18.4,16.2,17.2,16.0,18.2,7.1,7.3,0,0,0,0,0.0,0.0,0.0,2019,2019-Canadian Selections 1,Final 1,61.17,17
