Athlete_Comp,Metric,Finish,Gender,Temp__Air,Judge_1_Score,Judge_2_Score,Judge_3_Score,Judge_4_Score,Judge_5_Score,Judge_6_Score__1,Judge_7_Score__1,Major_Finalist,Major_Medalist,Nation,Olympic_Finalist,Olympic_Medalist,Temp__Snow,Season,Season_Comp,Round,Wind,age_yrs
RICE Lewis - CAN - Canada Cup 2 - 2019 - Qualification 1,62.17,9,Men,0.0,15.2,15.5,16.2,15.1,15.3,6.8,6.8,0,0,CAN,0,0,0.0,2019,2019-Canada Cup 2,Qualification 1,0.0,
GAGNON Louis - CAN - Canada Cup 2 - 2019 - Qualification 2,61.81,2,Men,0.0,15.4,14.3,15.8,16.9,15.6,7.0,7.0,0,0,CAN,0,0,0.0,2019,2019-Canada Cup 2,Qualification 2,0.0,
GARBY Noah - CAN - Canada Cup 1 - 2019 - Qualification 2,8.5,44,Men,-22.0,13.8,12.0,11.0,12.1,12.0,1.9,1.9,0,0,CAN,0,0,0.0,2019,2019-Canada Cup 1,Qualification 2,0.0,
CLOUTIER ASSELIN Felix - CAN - Canadian Selections 1 - 2019 - Qualification 1,33.66,35,Men,0.0,16.9,15.0,16.4,13.0,17.2,5.3,5.2,0,0,CAN,0,0,0.0,2019,2019-Canadian Selections 1,Qualification 1,0.0,23.0
THIBAULT Olivier - CAN - Canada Cup 1 - 2019 - Final 1,71.9,8,Men,-22.0,16.0,15.9,16.2,16.2,16.4,8.0,8.2,0,0,CAN,0,0,0.0,2019,2019-Canada Cup 1,Final 1,0.0,
TAKAKU Keisuke - JPN - Canadian Selections 1 - 2019 - Qualification 1,58.83,25,Men,0.0,12.9,14.8,14.8,15.2,15.8,6.3,6.5,0,0,JPN,0,0,0.0,2019,2019-Canadian Selections 1,Qualification 1,0.0,20.0
GADBOIS Alexis - CAN - Canada Cup 1 - 2019 - Qualification 1,61.09,31,Men,-22.0,16.0,14.9,14.7,14.9,14.8,6.8,7.0,0,0,CAN,0,0,0.0,2019,2019-Canada Cup 1,Qualification 1,0.0,
SCHWINGHAMER Mackenzie - CAN - Canada Cup 1 - 2019 - Final 1,73.42,1,Women,-22.0,16.0,16.3,16.0,16.3,16.0,7.8,8.0,0,0,CAN,0,0,0.0,2019,2019-Canada Cup 1,Final 1,0.0,
GILBERT Benoit - CAN - Canada Cup 1 - 2019 - Qualification 2,66.81,5,Men,-22.0,15.0,15.4,15.2,15.3,15.3,7.8,8.1,0,0,CAN,0,0,0.0,2019,2019-Canada Cup 1,Qualification 2,0.0,
NISHIZAWA Taketo - JPN - Canadian Selections 1 - 2019 - Final 1,64.25,15,Men,0.0,16.4,13.0,15.1,13.0,16.1,7.3,7.6,0,0,JPN,0,0,0.0,2019,2019-Canadian Selections 1,Final 1,0.0,21.0
VAN DER MERWE Dylan - CAN - Canada Cup 1 - 2019 - Final 1,35.01,19,Men,-22.0,15.0,14.2,14.8,15.9,16.0,1.9,1.9,0,0,CAN,0,0,0.0,2019,2019-Canada Cup 1,Final 1,0.0,
GAUTHIER Julien - CAN - Canada Cup 2 - 2019 - Qualification 1,73.06,1,Men,0.0,17.0,17.4,16.2,16.6,16.7,8.3,8.2,0,0,CAN,0,0,0.0,2019,2019-Canada Cup 2,Qualification 1,0.0,
GREANYA Aiden - CAN - Canada Cup 1 - 2019 - Qualification 2,55.85,31,Men,-22.0,12.8,12.6,13.8,13.1,12.4,7.8,7.7,0,0,CAN,0,0,0.0,2019,2019-Canada Cup 1,Qualification 2,0.0,
WOLFE Marie  Elizabeth - CAN - Canada Cup 1 - 2019 - Qualification 2,51.15,13,Women,-22.0,12.8,13.8,12.9,13.1,12.4,5.3,5.4,0,0,CAN,0,0,0.0,2019,2019-Canada Cup 1,Qualification 2,0.0,
VAN DER MERWE Dylan - CAN - Canadian Selections 1 - 2019 - Qualification 2,14.44,30,Men,0.0,12.9,14.0,14.7,14.3,12.2,1.0,1.0,0,0,CAN,0,0,0.0,2019,2019-Canadian Selections 1,Qualification 2,0.0,19.0
PERNISIE Wylie - CAN - Canada Cup 1 - 2019 - Qualification 1,52.57,39,Men,-22.0,13.2,13.1,13.4,14.8,15.3,3.8,4.2,0,0,CAN,0,0,0.0,2019,2019-Canada Cup 1,Qualification 1,0.0,
BERGEVIN Mikela - CAN - Canadian Selections 1 - 2019 - Final 1,62.76,7,Women,0.0,14.9,15.4,15.8,15.3,16.6,4.3,4.0,0,0,CAN,0,0,0.0,2019,2019-Canadian Selections 1,Final 1,0.0,22.0
MAGA Joshua - CAN - Canada Cup 2 - 2019 - Final 1,68.69,4,Men,0.0,16.0,16.4,16.1,17.4,17.1,7.2,7.3,0,0,CAN,0,0,0.0,2019,2019-Canada Cup 2,Final 1,0.0,
LATREILLE Kolten - CAN - Canada Cup 1 - 2019 - Qualification 2,16.1,43,Men,-22.0,12.9,11.8,11.0,11.9,11.4,4.0,4.0,0,0,CAN,0,0,0.0,2019,2019-Canada Cup 1,Qualification 2,0.0,
ALLARD Nalya - CAN - Canada Cup 1 - 2019 - Qualification 1,55.09,11,Women,-22.0,14.3,13.7,13.5,13.8,13.2,4.8,4.5,0,0,CAN,0,0,0.0,2019,2019-Canada Cup 1,Qualification 1,0.0,
BEAULIEU Charles - CAN - Canadian Selections 1 - 2019 - Qualification 2,52.91,19,Men,0.0,13.7,15.0,13.9,14.0,15.1,5.5,5.9,0,0,CAN,0,0,0.0,2019,2019-Canadian Selections 1,Qualification 2,0.0,18.0
BURNYEAT Thomas - CAN - Canada Cup 2 - 2019 - Qualification 1,11.71,38,Men,0.0,15.5,14.5,10.9,12.7,12.5,6.8,6.9,0,0,CAN,0,0,0.0,2019,2019-Canada Cup 2,Qualification 1,0.0,
UKRAINETZ Josh - CAN - Canada Cup 2 - 2019 - Qualification 1,50.53,16,Men,0.0,14.4,14.6,14.3,12.4,12.5,6.5,6.6,0,0,CAN,0,0,0.0,2019,2019-Canada Cup 2,Qualification 1,0.0,
GAGNON Thomas - CAN - Canada Cup 2 - 2019 - Qualification 1,34.2,26,Men,0.0,15.8,15.9,15.7,15.4,15.0,2.6,3.8,0,0,CAN,0,0,0.0,2019,2019-Canada Cup 2,Qualification 1,0.0,
MAGA Joshua - CAN - Canada Cup 2 - 2019 - Qualification 1,68.47,6,Men,0.0,16.4,16.5,16.0,15.8,16.0,7.6,7.9,0,0,CAN,0,0,0.0,2019,2019-Canada Cup 2,Qualification 1,0.0,
CLEGG Sina - CAN - Canada Cup 2 - 2019 - Qualification 2,51.44,6,Women,0.0,14.8,14.9,13.3,14.5,14.5,8.2,8.1,0,0,CAN,0,0,0.0,2019,2019-Canada Cup 2,Qualification 2,0.0,
CHARLAND Loic - CAN - Canada Cup 1 - 2019 - Qualification 2,58.07,27,Men,-22.0,15.0,14.7,13.9,14.4,14.0,5.5,5.4,0,0,CAN,0,0,0.0,2019,2019-Canada Cup 1,Qualification 2,0.0,
THIVIERGE Charles Olivier - CAN - Canadian Selections 1 - 2019 - Final 1,66.69,11,Men,0.0,15.1,16.3,16.2,16.6,15.6,6.0,5.9,0,0,CAN,0,0,0.0,2019,2019-Canadian Selections 1,Final 1,0.0,18.0
TAKAHASHI Shiori - JPN - Canadian Selections 2 - 2019 - Qualification 1,53.6,13,Women,0.0,15.3,12.9,15.9,15.6,10.1,4.9,5.0,0,0,JPN,0,0,0.0,2019,2019-Canadian Selections 2,Qualification 1,0.0,17.0
LINTON Jessica - CAN - Canadian Selections 1 - 2019 - Qualification 2,8.32,12,Women,0.0,12.5,13.3,11.0,12.9,13.0,5.4,4.6,0,0,CAN,0,0,0.0,2019,2019-Canadian Selections 1,Qualification 2,0.0,19.0
MASON Shawn - CAN - Canada Cup 2 - 2019 - Qualification 1,17.55,34,Men,0.0,12.5,12.8,11.0,13.4,13.0,5.2,5.0,0,0,CAN,0,0,0.0,2019,2019-Canada Cup 2,Qualification 1,0.0,
BUTTERWORTH Cassidy - CAN - Canadian Selections 2 - 2019 - Qualification 1,49.08,16,Women,0.0,12.7,14.4,13.4,14.0,13.4,6.0,6.8,0,0,CAN,0,0,0.0,2019,2019-Canadian Selections 2,Qualification 1,0.0,17.0
TODD Kassidy - CAN - Canadian Selections 1 - 2019 - Qualification 2,20.3,11,Women,0.0,14.1,13.6,12.8,14.0,12.8,6.9,7.0,0,0,CAN,0,0,0.0,2019,2019-Canadian Selections 1,Qualification 2,0.0,22.0
DELISLE Simon - CAN - Canada Cup 1 - 2019 - Qualification 1,63.63,26,Men,-22.0,14.7,14.2,14.4,15.1,14.9,7.5,7.8,0,0,CAN,0,0,0.0,2019,2019-Canada Cup 1,Qualification 1,0.0,
DAWSON Quinn - CAN - Canada Cup 1 - 2019 - Qualification 1,71.5,8,Men,-22.0,14.0,15.6,16.0,16.8,16.7,7.0,7.3,0,0,CAN,0,0,0.0,2019,2019-Canada Cup 1,Qualification 1,0.0,
THIVIERGE Charles  Olivier - CAN - Canada Cup 1 - 2019 - Qualification 1,73.46,3,Men,-22.0,17.0,16.6,16.7,16.5,16.8,7.8,7.4,0,0,CAN,0,0,0.0,2019,2019-Canada Cup 1,Qualification 1,0.0,
DUBUC Jeremy - CAN - Canada Cup 1 - 2019 - Final 1,65.98,18,Men,-22.0,15.0,16.1,15.9,15.7,15.8,7.0,7.3,0,0,CAN,0,0,0.0,2019,2019-Canada Cup 1,Final 1,0.0,
PERNITSKY Lillian - CAN - Canada Cup 2 - 2019 - Qualification 1,59.99,5,Women,0.0,16.0,15.5,14.0,15.2,15.4,6.8,6.5,0,0,CAN,0,0,0.0,2019,2019-Canada Cup 2,Qualification 1,0.0,
ENGLISH Karisa - CAN - Canada Cup 1 - 2019 - Qualification 1,50.86,16,Women,-22.0,13.8,14.0,14.2,13.7,14.3,6.0,5.8,0,0,CAN,0,0,0.0,2019,2019-Canada Cup 1,Qualification 1,0.0,
PERNISIE Hailie - CAN - Canada Cup 2 - 2019 - Qualification 2,9.35,20,Women,0.0,10.8,10.0,11.6,11.4,12.0,4.8,4.9,0,0,CAN,0,0,0.0,2019,2019-Canada Cup 2,Qualification 2,0.0,
