Athlete_Comp,Metric,Finish,Gender,Judge_1_Score,Judge_2_Score,Judge_3_Score,Judge_4_Score,Judge_5_Score,Judge_6_Score_1,Judge_7_Score_1,Round_Group,Season,Season_Comp,Round,Wind,Athlete_name
LESSARD Olivier - CAN - North American Cup 2 - 2019 - Qualification 1,71.02,31,Men,17.0,15.8,15.8,15.6,15.8,6.4,6.8,Qualification,2019,2019-North American Cup 2,Qualification 1,0.0,LESSARD Olivier - CAN
INUI Takami - JPN - North American Cup 2 - 2019 - Qualification 1,72.85,24,Men,16.8,16.4,16.0,16.0,16.9,7.1,7.8,Qualification,2019,2019-North American Cup 2,Qualification 1,0.0,INUI Takami - JPN
VAN DER MERWE Dylan - CAN - North American Cup 1 - 2019 - Qualification 1,56.85,33,Men,14.4,14.1,15.2,14.0,15.5,4.8,4.2,Qualification,2019,2019-North American Cup 1,Qualification 1,0.0,VAN DER MERWE Dylan - CAN
TIKTINSKY Peter - USA - North American Cup 1 - 2019 - Qualification 1,22.27,41,Men,14.0,13.1,13.0,12.0,11.1,5.9,6.0,Qualification,2019,2019-North American Cup 1,Qualification 1,0.0,TIKTINSKY Peter - USA
MCQUINN Carter - USA - North American Cup 1 - 2019 - Qualification 1,61.5,31,Men,15.1,15.0,15.0,14.9,15.4,8.1,7.5,Qualification,2019,2019-North American Cup 1,Qualification 1,0.0,MCQUINN Carter - USA
MARCELLINI Dylan - USA - North American Cup 1 - 2019 - Qualification 1,38.17,39,Men,13.8,14.6,13.4,14.5,12.0,5.9,6.0,Qualification,2019,2019-North American Cup 1,Qualification 1,0.0,MARCELLINI Dylan - USA
WENDLER Landon - USA - North American Cup 1 - 2019 - Final 1,81.48,2,Men,17.4,18.1,17.5,17.6,17.8,9.0,9.1,Finals,2019,2019-North American Cup 1,Final 1,0.0,WENDLER Landon - USA
CHALIFOUX Louis David - CAN - North American Cup 2 - 2019 - Final 2,83.35,2,Men,18.1,18.3,18.4,18.3,18.2,8.7,8.6,Finals,2019,2019-North American Cup 2,Final 2,0.0,CHALIFOUX Louis David - CAN
BARNDT Karsten - USA - North American Cup 2 - 2019 - Qualification 1,77.32,13,Men,16.7,17.4,17.1,17.2,17.6,7.2,7.7,Qualification,2019,2019-North American Cup 2,Qualification 1,0.0,BARNDT Karsten - USA
WENDLER Landon - USA - North American Cup 2 - 2019 - Qualification 1,77.79,12,Men,17.7,17.8,17.6,18.0,18.3,8.0,7.3,Qualification,2019,2019-North American Cup 2,Qualification 1,0.0,WENDLER Landon - USA
DESAUTELS Mats - CAN - North American Cup 2 - 2019 - Qualification 1,70.21,32,Men,16.4,16.2,16.0,16.3,16.9,7.8,7.3,Qualification,2019,2019-North American Cup 2,Qualification 1,0.0,DESAUTELS Mats - CAN
FENELEY William - GBR - North American Cup 1 - 2019 - Final 1,73.92,14,Men,16.7,16.5,16.8,16.6,17.1,6.0,5.5,Finals,2019,2019-North American Cup 1,Final 1,0.0,FENELEY William - GBR
SCHUNK Harrison - USA - North American Cup 2 - 2019 - Qualification 1,68.21,38,Men,14.8,16.1,16.0,15.5,14.9,8.1,7.9,Qualification,2019,2019-North American Cup 2,Qualification 1,0.0,SCHUNK Harrison - USA
HEIMS Kalman - USA - North American Cup 1 - 2019 - Final 2,81.25,2,Men,17.4,18.2,16.1,17.8,17.6,9.4,8.8,Finals,2019,2019-North American Cup 1,Final 2,0.0,HEIMS Kalman - USA
MURPHY Tanner - USA - North American Cup 1 - 2019 - Final 1,76.94,11,Men,15.8,17.5,17.0,16.9,17.2,7.6,7.5,Finals,2019,2019-North American Cup 1,Final 1,0.0,MURPHY Tanner - USA
LEWIS Alex - USA - North American Cup 2 - 2019 - Qualification 1,81.74,2,Men,18.0,17.9,18.0,17.7,17.4,7.8,8.1,Qualification,2019,2019-North American Cup 2,Qualification 1,0.0,LEWIS Alex - USA
WOODS TOPALOVIC Cooper - AUS - North American Cup 2 - 2019 - Qualification 1,81.91,1,Men,17.8,17.8,17.3,17.5,18.3,9.8,9.8,Qualification,2019,2019-North American Cup 2,Qualification 1,0.0,WOODS TOPALOVIC Cooper - AUS
KOIWA Kai - JPN - North American Cup 2 - 2019 - Qualification 1,70.2,33,Men,15.3,16.0,15.0,14.9,16.0,7.0,7.0,Qualification,2019,2019-North American Cup 2,Qualification 1,0.0,KOIWA Kai - JPN
FENELEY William - GBR - North American Cup 2 - 2019 - Qualification 1,74.9,19,Men,17.6,17.3,18.0,17.2,16.6,8.6,8.6,Qualification,2019,2019-North American Cup 2,Qualification 1,0.0,FENELEY William - GBR
NADEAU Jean Christophe - CAN - North American Cup 2 - 2019 - Qualification 1,59.01,54,Men,16.1,16.8,14.9,15.0,16.0,7.5,7.1,Qualification,2019,2019-North American Cup 2,Qualification 1,0.0,NADEAU Jean Christophe - CAN
BETY Marc Antoine - CAN - North American Cup 1 - 2019 - Qualification 1,72.4,1,Men,17.3,18.1,17.5,16.7,16.9,7.0,7.4,Qualification,2019,2019-North American Cup 1,Qualification 1,0.0,BETY Marc Antoine - CAN
MARLEY Garrett - USA - North American Cup 1 - 2019 - Qualification 1,72.26,2,Men,16.1,16.7,15.1,16.5,16.0,8.3,8.4,Qualification,2019,2019-North American Cup 1,Qualification 1,0.0,MARLEY Garrett - USA
BARNDT Karsten - USA - North American Cup 1 - 2019 - Qualification 1,66.74,17,Men,15.3,16.3,14.7,14.7,15.8,6.2,6.3,Qualification,2019,2019-North American Cup 1,Qualification 1,0.0,BARNDT Karsten - USA
PAGE Nick - USA - North American Cup 2 - 2019 - Qualification 1,78.43,11,Men,17.8,17.7,17.4,17.9,17.6,8.0,7.7,Qualification,2019,2019-North American Cup 2,Qualification 1,0.0,PAGE Nick - USA
TANNER Marc - CAN - North American Cup 2 - 2019 - Qualification 1,65.77,45,Men,15.3,15.3,15.0,14.5,15.0,7.7,7.3,Qualification,2019,2019-North American Cup 2,Qualification 1,0.0,TANNER Marc - CAN
KURODA Brayden - CAN - North American Cup 1 - 2019 - Final 1,79.04,7,Men,17.2,18.1,17.1,17.5,17.4,8.7,8.9,Finals,2019,2019-North American Cup 1,Final 1,0.0,KURODA Brayden - CAN
CHALIFOUX Louis David - CAN - North American Cup 2 - 2019 - Final 1,82.89,5,Men,17.7,18.4,18.2,18.3,18.6,8.3,8.6,Finals,2019,2019-North American Cup 2,Final 1,0.0,CHALIFOUX Louis David - CAN
