Athlete_Comp,Athlete_name,Gender,age_yrs,Nation,Judge_1_Score,Judge_2_Score,Judge_3_Score,Judge_4_Score,Judge_5_Score,Judge_6_Score_1,Judge_7_Score_1,Major_Finalist,Major_Medalist,Olympic_Finalist,Olympic_Medalist,Temp_Snow,Temp_Air,Wind,Season,Season_Comp,Round,Metric,Finish
ITO Miki - JPN - Canadian Selections 2 - 2019 - Qualification 1,ITO Miki - JPN,Women,33.0,JPN,17.1,16.8,17.7,16.9,16.3,4.2,5.2,1,1,0,0,0.0,0.0,0.0,2019,2019-Canadian Selections 2,Qualification 1,70.56,4
MYSKO Alex - CAN - Canada Cup 1 - 2019 - Qualification 1,MYSKO Alex - CAN,Men,,CAN,15.4,15.8,15.8,15.5,15.5,7.8,8.0,0,0,0,0,0.0,-22.0,0.0,2019,2019-Canada Cup 1,Qualification 1,66.93,18
DESAUTELS Mats - CAN - Canada Cup 1 - 2019 - Qualification 1,DESAUTELS Mats - CAN,Men,,CAN,15.8,15.9,15.4,16.1,15.0,8.0,8.2,0,0,0,0,0.0,-22.0,0.0,2019,2019-Canada Cup 1,Qualification 1,73.33,4
RICE Lewis - CAN - Canadian Selections 1 - 2019 - Qualification 2,RICE Lewis - CAN,Men,18.0,CAN,12.9,12.9,14.7,15.2,14.8,5.4,5.6,0,0,0,0,0.0,0.0,0.0,2019,2019-Canadian Selections 1,Qualification 2,51.74,21
KOBER Jordan - CAN - Canadian Selections 1 - 2019 - Final 1,KOBER Jordan - CAN,Men,24.0,CAN,17.7,17.7,18.6,17.8,17.4,5.6,5.4,0,0,0,0,0.0,0.0,0.0,2019,2019-Canadian Selections 1,Final 1,74.89,4
KOEHLER Kaylee - CAN - Canadian Selections 1 - 2019 - Qualification 1,KOEHLER Kaylee - CAN,Women,17.0,CAN,13.7,14.8,16.6,14.6,15.0,5.1,6.7,0,0,0,0,0.0,0.0,0.0,2019,2019-Canadian Selections 1,Qualification 1,63.51,9
MALHERBE Malica - CAN - Canada Cup 2 - 2019 - Final 1,MALHERBE Malica - CAN,Women,,CAN,13.0,12.6,13.0,12.9,12.7,5.5,5.7,0,0,0,0,0.0,0.0,0.0,2019,2019-Canada Cup 2,Final 1,32.44,9
RICE Lewis - CAN - Canada Cup 1 - 2019 - Qualification 1,RICE Lewis - CAN,Men,,CAN,15.2,15.9,15.8,14.9,16.4,8.0,7.8,0,0,0,0,0.0,-22.0,0.0,2019,2019-Canada Cup 1,Qualification 1,62.86,28
MIYAMOTO Juri - JPN - Canadian Selections 1 - 2019 - Qualification 1,MIYAMOTO Juri - JPN,Women,19.0,JPN,12.4,12.0,13.6,13.0,14.0,6.3,6.4,0,0,0,0,0.0,0.0,0.0,2019,2019-Canadian Selections 1,Qualification 1,35.74,16
CORDELL Sam - CAN - Canadian Selections 1 - 2019 - Final 1,CORDELL Sam - CAN,Men,20.0,CAN,17.8,16.9,16.4,17.2,16.6,5.1,4.2,0,0,0,0,0.0,0.0,0.0,2019,2019-Canadian Selections 1,Final 1,68.96,9
