Athlete_Comp,Metric,Finish,Gender,Temp__Air,Judge_1_Score,Judge_2_Score,Judge_3_Score,Judge_4_Score,Judge_5_Score,Judge_6_Score__1,Judge_7_Score__1,Major_Finalist,Major_Medalist,Nation,Olympic_Finalist,Olympic_Medalist,Temp__Snow,Season,Season_Comp,Round,Wind,age_yrs
WALCZYK Dylan - USA - World Championships - 2019 - Qualification 1,74.04,10,Men,-6.0,16.4,16.7,15.9,16.6,15.4,7.0,7.0,0,0,USA,0,0,-1.0,2019,2019-World Championships,Qualification 1,0.0,27.0
HARA Daichi - JPN - World Cup 6 - 2019 - Qualification 1,79.23,4,Men,2.0,17.6,17.7,16.5,16.4,16.9,8.8,7.8,1,1,JPN,1,1,-2.0,2019,2019-World Cup 6,Qualification 1,0.0,23.0
GRAHAM Matt - AUS - World Cup 5 - 2019 - Final 1,80.13,4,Men,-19.0,16.7,17.3,17.1,17.4,17.6,7.6,7.7,1,1,AUS,1,1,-3.0,2019,2019-World Cup 5,Final 1,0.0,26.0
ESCOBAR Jules - FRA - World Cup 2 - 2019 - Qualification 1,80.0,5,Men,-12.0,16.8,17.0,17.7,18.1,16.9,9.0,8.8,0,0,FRA,0,0,-3.0,2019,2019-World Cup 2,Qualification 1,0.0,26.0
WANG Haoran - CHN - World Championships - 2019 - Qualification 2,27.74,23,Men,-6.0,13.0,12.0,11.1,9.8,11.5,4.0,3.7,0,0,CHN,0,0,0.0,2019,2019-World Championships,Qualification 2,0.0,22.0
TOMITAKA Hinako - JPN - World Cup 3 - 2019 - Final 1,69.78,12,Women,1.0,15.5,14.8,15.3,15.0,15.8,8.0,8.0,0,0,JPN,0,0,-1.0,2019,2019-World Cup 3,Final 1,0.0,20.0
CHUNLAUD Kerrian - CAN - World Cup 3 - 2019 - Qualification 1,69.78,28,Men,-3.0,15.5,16.5,15.5,16.2,14.0,6.9,7.6,0,0,CAN,0,0,-1.0,2019,2019-World Cup 3,Qualification 1,0.0,27.0
MARQUIS Philippe - CAN - World Cup 6 - 2019 - Final 1,80.72,4,Men,0.0,17.6,17.6,17.3,17.5,17.4,9.1,9.3,1,0,CAN,0,0,0.0,2019,2019-World Cup 6,Final 1,0.0,31.0
GRAHAM Matt - AUS - World Cup 1 - 2019 - Qualification 1,78.47,8,Men,-3.0,17.6,17.0,17.3,16.9,16.7,8.8,8.1,1,1,AUS,1,1,0.0,2019,2019-World Cup 1,Qualification 1,0.0,26.0
HARA Daichi - JPN - World Cup 1 - 2019 - Final 1,78.47,10,Men,-3.0,17.5,17.3,17.7,17.4,17.6,7.0,8.0,1,1,JPN,1,1,-1.0,2019,2019-World Cup 1,Final 1,0.0,23.0
MASYRA Oleh - UKR - World Championships - 2019 - Qualification 2,38.33,21,Men,-6.0,13.7,13.1,11.5,12.1,13.5,4.8,5.0,0,0,UKR,0,0,0.0,2019,2019-World Championships,Qualification 2,0.0,24.0
FUJIKI Goshin - JPN - World Championships - 2019 - Qualification 1,70.38,19,Men,-6.0,16.3,16.4,16.3,16.1,15.7,7.7,6.5,0,0,JPN,0,0,-1.0,2019,2019-World Championships,Qualification 1,0.0,23.0
MAKHNEV Andrei - RUS - World Cup 1 - 2019 - Qualification 1,76.85,9,Men,-3.0,16.7,16.7,16.7,17.4,16.5,8.5,8.2,0,0,RUS,0,0,0.0,2019,2019-World Cup 1,Qualification 1,0.0,23.0
DUFRESNE Gabriel - CAN - World Cup 2 - 2019 - Qualification 1,75.94,18,Men,-12.0,15.7,15.5,16.0,15.6,15.5,8.6,9.2,0,0,CAN,0,0,-3.0,2019,2019-World Cup 2,Qualification 1,0.0,24.0
WALCZYK Dylan - USA - World Cup 4 - 2019 - Final 1,75.94,10,Men,-6.0,16.3,15.7,15.7,16.5,15.7,6.8,6.8,0,0,USA,0,0,-2.0,2019,2019-World Cup 4,Final 1,0.0,27.0
GERKEN SCHOFIELD Makayla - GBR - World Cup 7 - 2019 - Qualification 1,53.28,19,Women,-3.0,15.4,14.0,12.4,12.2,13.1,5.4,5.3,0,0,GBR,0,0,-1.0,2019,2019-World Cup 7,Qualification 1,0.0,21.0
KAUF Jaelin - USA - World Cup 2 - 2019 - Final 2,83.08,1,Women,-12.0,18.1,18.1,17.6,17.7,17.8,7.9,8.0,1,0,USA,0,0,-3.0,2019,2019-World Cup 2,Final 2,0.0,24.0
SUMIYOSHI Kisara - JPN - World Cup 2 - 2019 - Qualification 1,69.54,15,Women,-12.0,14.2,15.0,16.0,16.0,15.0,7.0,6.7,0,0,JPN,0,0,-3.0,2019,2019-World Cup 2,Qualification 1,0.0,20.0
GAGNON Sofiane - CAN - World Cup 3 - 2019 - Qualification 1,69.54,14,Women,-3.0,15.7,16.7,15.8,16.0,15.2,7.8,7.9,0,0,CAN,0,0,-1.0,2019,2019-World Cup 3,Qualification 1,0.0,21.0
SOAR Hannah - USA - World Cup 6 - 2019 - Final 1,69.54,12,Women,0.0,15.0,15.3,13.6,15.1,15.2,6.0,6.2,0,0,USA,0,0,0.0,2019,2019-World Cup 6,Final 1,0.0,21.0
LAFFONT Perrine - FRA - World Cup 6 - 2019 - Final 2,82.97,1,Women,0.0,17.0,17.1,17.8,17.2,17.7,8.0,8.1,1,1,FRA,1,1,0.0,2019,2019-World Cup 6,Final 2,0.0,22.0
GRAHAM Matt - AUS - World Championships - 2019 - Final 1,82.97,2,Men,-9.0,17.9,17.1,17.8,18.0,17.4,8.2,7.8,1,1,AUS,1,1,-1.0,2019,2019-World Championships,Final 1,0.0,26.0
GERKEN SCHOFIELD Thomas - GBR - World Cup 6 - 2019 - Qualification 1,73.99,16,Men,2.0,15.4,15.3,15.2,15.8,15.6,6.7,7.4,0,0,GBR,0,0,-2.0,2019,2019-World Cup 6,Qualification 1,0.0,22.0
ESCOBAR Jules - FRA - World Cup 5 - 2019 - Qualification 1,73.99,11,Men,-19.0,16.2,16.4,16.6,17.1,16.1,8.7,7.8,0,0,FRA,0,0,-3.0,2019,2019-World Cup 5,Qualification 1,0.0,26.0
ELOFSSON Oskar - SWE - World Cup 4 - 2019 - Qualification 1,71.14,29,Men,-18.0,16.2,15.9,14.9,15.4,15.5,7.3,7.5,0,0,SWE,0,0,-4.0,2019,2019-World Cup 4,Qualification 1,0.0,22.0
KAUF Jaelin - USA - World Cup 1 - 2019 - Qualification 2,75.07,1,Women,-3.0,16.2,16.2,16.6,15.9,15.7,7.8,7.8,1,0,USA,0,0,-1.0,2019,2019-World Cup 1,Qualification 2,0.0,24.0
ELOFSSON Felix - SWE - World Championships - 2019 - Qualification 1,69.83,22,Men,-6.0,14.9,16.0,16.1,17.0,16.2,6.0,6.0,0,0,SWE,0,0,-1.0,2019,2019-World Championships,Qualification 1,0.0,25.0
KANNINEN Topi - FIN - World Cup 6 - 2019 - Qualification 1,66.35,34,Men,2.0,13.8,15.4,14.5,14.0,13.8,7.2,8.0,0,0,FIN,0,0,-2.0,2019,2019-World Cup 6,Qualification 1,0.0,25.0
ITO Miki - JPN - World Cup 6 - 2019 - Final 1,67.95,15,Women,0.0,15.5,14.9,14.7,15.0,15.2,5.9,6.3,1,1,JPN,0,0,0.0,2019,2019-World Cup 6,Final 1,0.0,33.0
ESCOBAR Jules - FRA - World Cup 6 - 2019 - Qualification 1,73.4,18,Men,2.0,15.9,16.3,16.4,16.1,16.2,6.8,6.2,0,0,FRA,0,0,-2.0,2019,2019-World Cup 6,Qualification 1,0.0,26.0
GRASEMANN Laura - GER - World Cup 4 - 2019 - Qualification 1,64.39,17,Women,-18.0,14.0,15.6,14.7,14.4,14.4,5.3,6.0,0,0,GER,0,0,-4.0,2019,2019-World Cup 4,Qualification 1,0.0,28.0
LAFFONT Perrine - FRA - World Cup 6 - 2019 - Qualification 1,77.38,1,Women,2.0,16.1,17.0,16.8,15.0,16.8,6.9,7.3,1,1,FRA,1,1,-2.0,2019,2019-World Cup 6,Qualification 1,0.0,22.0
SUIKKARI Johannes - FIN - World Cup 1 - 2019 - Qualification 1,58.53,45,Men,-3.0,14.7,13.5,13.3,13.7,14.0,4.0,3.6,0,0,FIN,0,0,0.0,2019,2019-World Cup 1,Qualification 1,0.0,24.0
SHIKATA Motoki - JPN - World Cup 4 - 2019 - Final 1,66.23,14,Men,-6.0,13.9,14.0,12.1,12.0,11.8,8.2,7.9,0,0,JPN,0,0,-2.0,2019,2019-World Cup 4,Final 1,0.0,27.0
LAFFONT Perrine - FRA - World Cup 2 - 2019 - Final 2,81.23,3,Women,-12.0,17.5,17.2,16.9,16.8,17.4,7.9,7.8,1,1,FRA,1,1,-3.0,2019,2019-World Cup 2,Final 2,0.0,22.0
HARA Daichi - JPN - World Cup 7 - 2019 - Final 1,81.23,5,Men,-3.0,17.5,17.4,17.5,17.3,17.0,7.4,7.1,1,1,JPN,1,1,-1.0,2019,2019-World Cup 7,Final 1,0.0,23.0
PENTTALA Jussi - FIN - World Cup 7 - 2019 - Qualification 1,73.44,16,Men,-3.0,15.8,15.7,15.8,16.0,17.0,7.3,6.4,0,0,FIN,0,0,-1.0,2019,2019-World Cup 7,Qualification 1,0.0,27.0
NING Qin - CHN - World Championships - 2019 - Qualification 2,1.27,19,Women,-6.0,10.0,8.5,10.1,8.0,8.0,1.2,1.4,0,0,CHN,0,0,-1.0,2019,2019-World Championships,Qualification 2,0.0,28.0
GUELI Claudia - AUS - World Cup 3 - 2019 - Qualification 1,66.8,16,Women,-3.0,15.0,14.1,15.0,15.5,13.9,8.0,8.2,0,0,AUS,0,0,-1.0,2019,2019-World Cup 3,Qualification 1,0.0,23.0
GALYSHEVA Yulia - KAZ - World Cup 7 - 2019 - Final 1,84.82,1,Women,-3.0,16.4,17.1,16.8,17.9,18.0,9.4,9.2,1,1,KAZ,1,1,-1.0,2019,2019-World Cup 7,Final 1,0.0,28.0
DZIEMIAN Nessa - USA - World Cup 1 - 2019 - Qualification 2,68.39,9,Women,-3.0,15.7,14.9,15.2,15.0,14.8,6.1,5.8,0,0,USA,0,0,-1.0,2019,2019-World Cup 1,Qualification 2,0.0,26.0
CAVET Benjamin - FRA - World Cup 1 - 2019 - Qualification 1,82.15,2,Men,-3.0,17.8,17.8,18.2,18.1,18.1,8.8,8.9,1,1,FRA,0,0,0.0,2019,2019-World Cup 1,Qualification 1,0.0,26.0
ANTHONY Jakara - AUS - World Cup 5 - 2019 - Qualification 1,77.35,1,Women,-19.0,17.0,16.4,16.7,16.7,17.0,8.4,8.4,1,1,AUS,1,0,-3.0,2019,2019-World Cup 5,Qualification 1,0.0,22.0
CAVET Benjamin - FRA - World Cup 4 - 2019 - Qualification 1,80.4,3,Men,-18.0,16.8,17.1,17.6,17.1,17.8,7.9,8.0,1,1,FRA,0,0,-4.0,2019,2019-World Cup 4,Qualification 1,0.0,26.0
ASH Sophie - AUS - World Cup 3 - 2019 - Qualification 1,58.59,24,Women,-3.0,13.3,13.5,13.2,12.9,14.0,5.7,5.9,0,0,AUS,0,0,-1.0,2019,2019-World Cup 3,Qualification 1,0.0,24.0
ROMANOV Sergey - KAZ - World Championships - 2019 - Qualification 2,8.29,29,Men,-6.0,14.0,14.0,14.2,13.5,15.0,2.8,2.4,0,0,KAZ,0,0,0.0,2019,2019-World Championships,Qualification 2,0.0,19.0
XIE Siqi - CHN - World Cup 2 - 2019 - Qualification 1,31.93,27,Women,-12.0,12.0,13.8,10.2,10.3,11.5,4.0,3.7,0,0,CHN,0,0,-3.0,2019,2019-World Cup 2,Qualification 1,0.0,20.0
HORISHIMA Ikuma - JPN - World Cup 7 - 2019 - Qualification 1,82.74,2,Men,-3.0,17.4,17.9,18.1,18.0,17.0,9.3,9.6,1,1,JPN,0,0,-1.0,2019,2019-World Cup 7,Qualification 1,0.0,23.0
ANTHONY Jakara - AUS - World Cup 1 - 2019 - Qualification 2,72.97,2,Women,-3.0,16.5,16.7,16.0,16.0,16.1,8.0,8.1,1,1,AUS,1,0,-1.0,2019,2019-World Cup 1,Qualification 2,0.0,22.0
KOLMAKOV Pavel - KAZ - World Cup 2 - 2019 - Final 1,31.16,16,Men,-12.0,16.9,17.0,17.4,16.1,16.4,8.7,8.9,0,0,KAZ,0,0,-3.0,2019,2019-World Cup 2,Final 1,0.0,24.0
AMUNDSEN Aurora - NOR - World Championships - 2019 - Qualification 1,16.89,26,Women,-6.0,15.2,14.1,13.2,14.7,15.9,0.6,0.5,0,0,NOR,0,0,-1.0,2019,2019-World Championships,Qualification 1,0.0,24.0
ELOFSSON Oskar - SWE - World Cup 6 - 2019 - Final 1,75.28,12,Men,0.0,15.8,16.9,17.0,16.7,16.8,8.4,8.2,0,0,SWE,0,0,0.0,2019,2019-World Cup 6,Final 1,0.0,22.0
ANTHONY Jakara - AUS - World Cup 4 - 2019 - Final 2,78.76,1,Women,-6.0,16.7,16.6,16.4,16.4,15.6,9.1,9.2,1,1,AUS,1,0,-2.0,2019,2019-World Cup 4,Final 2,0.0,22.0
GRAHAM Matt - AUS - World Cup 1 - 2019 - Final 1,80.34,8,Men,-3.0,17.2,17.1,17.1,16.9,17.0,8.1,8.1,1,1,AUS,1,1,-1.0,2019,2019-World Cup 1,Final 1,0.0,26.0
FJALLSTROM Ludvig - SWE - World Cup 2 - 2019 - Final 1,78.76,8,Men,-12.0,17.4,17.5,17.1,17.5,17.2,8.9,9.0,0,0,SWE,0,0,-3.0,2019,2019-World Cup 2,Final 1,0.0,27.0
MATHESON James - AUS - World Cup 5 - 2019 - Qualification 1,67.52,33,Men,-19.0,16.4,16.9,15.0,15.5,15.2,6.6,6.6,0,0,AUS,0,0,-3.0,2019,2019-World Cup 5,Qualification 1,0.0,25.0
PARKACHEV Nikita - RUS - World Championships - 2019 - Qualification 1,63.84,30,Men,-6.0,15.4,13.8,14.7,15.2,15.3,6.0,5.2,0,0,RUS,0,0,-1.0,2019,2019-World Championships,Qualification 1,0.0,21.0
LAFFONT Perrine - FRA - World Championships - 2019 - Final 2,78.7,3,Women,-9.0,17.6,17.3,17.4,16.6,17.2,6.6,6.3,1,1,FRA,1,1,-1.0,2019,2019-World Championships,Final 2,0.0,22.0
HOSHINO Junko - JPN - World Cup 3 - 2019 - Final 1,72.37,10,Women,1.0,16.0,15.4,15.8,16.4,16.0,8.0,8.2,0,0,JPN,0,0,-1.0,2019,2019-World Cup 3,Final 1,0.0,31.0
SCHWINGHAMMER Maia - CAN - World Cup 3 - 2019 - Final 1,72.37,11,Women,1.0,15.5,15.8,15.2,14.7,15.6,8.0,8.1,0,0,CAN,0,0,-1.0,2019,2019-World Cup 3,Final 1,0.0,19.0
SOAR Hannah - USA - World Cup 6 - 2019 - Qualification 1,62.59,15,Women,2.0,14.4,14.4,12.7,15.5,15.7,6.1,5.8,0,0,USA,0,0,-2.0,2019,2019-World Cup 6,Qualification 1,0.0,21.0
LEMIEUX Simon - CAN - World Cup 2 - 2019 - Qualification 1,17.83,43,Men,-12.0,11.9,12.0,10.0,9.9,14.0,7.2,7.7,0,0,CAN,0,0,-3.0,2019,2019-World Cup 2,Qualification 1,0.0,28.0
SUMIYOSHI Kisara - JPN - World Cup 7 - 2019 - Qualification 1,74.95,8,Women,-3.0,16.5,16.2,16.4,16.5,16.5,6.8,7.1,0,0,JPN,0,0,-1.0,2019,2019-World Cup 7,Qualification 1,0.0,20.0
GRASEMANN Laura - GER - World Cup 5 - 2019 - Final 1,73.5,3,Women,-19.0,15.0,15.2,14.7,15.0,15.1,5.6,6.2,0,0,GER,0,0,-3.0,2019,2019-World Cup 5,Final 1,0.0,28.0
MARQUIS Philippe - CAN - World Championships - 2019 - Final 1,79.64,5,Men,-9.0,17.0,17.2,17.0,16.7,16.7,9.0,9.2,1,0,CAN,0,0,-1.0,2019,2019-World Championships,Final 1,0.0,31.0
SALONEN Jimi - FIN - World Cup 4 - 2019 - Qualification 1,70.3,31,Men,-18.0,16.6,16.2,15.4,16.4,16.3,7.8,8.3,0,0,FIN,0,0,-4.0,2019,2019-World Cup 4,Qualification 1,0.0,26.0
CHAPMAN DAVIES Rohan - AUS - World Championships - 2019 - Qualification 1,70.3,20,Men,-6.0,15.8,15.5,15.6,17.4,16.3,7.6,7.8,0,0,AUS,0,0,-1.0,2019,2019-World Championships,Qualification 1,0.0,29.0
GALYSHEVA Yulia - KAZ - World Cup 6 - 2019 - Final 2,76.92,3,Women,0.0,15.3,15.9,17.2,16.4,16.0,8.9,8.9,1,1,KAZ,1,1,0.0,2019,2019-World Cup 6,Final 2,0.0,28.0
SUMIYOSHI Kisara - JPN - World Cup 6 - 2019 - Final 1,72.29,7,Women,0.0,15.8,15.8,14.7,15.5,15.6,7.6,6.8,0,0,JPN,0,0,0.0,2019,2019-World Cup 6,Final 1,0.0,20.0
JOHNSON Tess - USA - World Cup 4 - 2019 - Qualification 1,70.45,5,Women,-18.0,15.1,15.3,14.9,14.7,15.2,8.1,8.3,0,0,USA,0,0,-4.0,2019,2019-World Cup 4,Qualification 1,0.0,20.0
SUMMERS Brodie - AUS - World Championships - 2019 - Qualification 1,68.92,26,Men,-6.0,15.8,15.0,15.1,14.5,15.8,7.8,8.0,0,0,AUS,0,0,-1.0,2019,2019-World Championships,Qualification 1,0.0,27.0
LAFFONT Perrine - FRA - World Cup 7 - 2019 - Final 2,79.11,2,Women,-3.0,16.9,16.8,17.0,17.0,17.1,8.4,8.2,1,1,FRA,1,1,-1.0,2019,2019-World Cup 7,Final 2,0.0,22.0
REIKHERD Dmitriy - KAZ - World Cup 1 - 2019 - Qualification 1,81.86,3,Men,-3.0,17.7,17.2,17.0,17.4,17.0,8.5,9.2,1,0,KAZ,1,0,0.0,2019,2019-World Cup 1,Qualification 1,0.0,31.0
AMUNDSEN Aurora - NOR - World Cup 5 - 2019 - Qualification 1,58.22,25,Women,-19.0,13.9,13.3,13.2,14.0,14.0,4.2,5.0,0,0,NOR,0,0,-3.0,2019,2019-World Cup 5,Qualification 1,0.0,24.0
WALCZYK Dylan - USA - World Cup 7 - 2019 - Final 1,79.93,8,Men,-3.0,18.1,17.0,16.6,17.0,16.9,9.0,9.1,0,0,USA,0,0,-1.0,2019,2019-World Cup 7,Final 1,0.0,27.0
GIACCIO Olivia - USA - World Championships - 2019 - Qualification 1,21.71,25,Women,-6.0,15.8,15.5,15.1,14.9,14.8,1.8,1.6,0,0,USA,0,0,-1.0,2019,2019-World Championships,Qualification 1,0.0,20.0
DUMAIS Laurent - CAN - World Cup 1 - 2019 - Final 1,78.37,11,Men,-3.0,17.2,17.3,17.7,17.4,17.5,7.9,7.4,0,0,CAN,0,0,-1.0,2019,2019-World Cup 1,Final 1,0.0,24.0
SMIRNOVA Anastasiia - RUS - World Cup 4 - 2019 - Qualification 1,68.2,9,Women,-18.0,14.4,15.0,13.8,15.8,15.3,7.1,7.3,1,0,RUS,0,0,-4.0,2019,2019-World Cup 4,Qualification 1,0.0,18.0
HOSHINO Junko - JPN - World Cup 5 - 2019 - Final 1,68.2,13,Women,-19.0,15.2,14.2,15.0,14.9,14.9,7.7,7.9,0,0,JPN,0,0,-3.0,2019,2019-World Cup 5,Final 1,0.0,31.0
