Athlete_Comp,Metric,Finish,Gender,Temp__Air,Judge_1_Score,Judge_2_Score,Judge_3_Score,Judge_4_Score,Judge_5_Score,Judge_6_Score__1,Judge_7_Score__1,Major_Finalist,Major_Medalist,Nation,Olympic_Finalist,Olympic_Medalist,Temp__Snow,Season,Season_Comp,Round,Wind,age_yrs
DZIEMIAN Nessa - USA - World Cup 1 - 2019 - Qualification 1,64.89,21,Women,-3.0,14.0,14.6,15.0,14.9,15.0,6.1,5.8,0,0,USA,0,0,-1.0,2019,2019-World Cup 1,Qualification 1,0.0,26.0
FJALLSTROM Ludvig - SWE - World Cup 5 - 2019 - Qualification 1,70.56,23,Men,-19.0,15.0,15.5,16.1,16.4,15.8,7.4,7.0,0,0,SWE,0,0,-3.0,2019,2019-World Cup 5,Qualification 1,0.0,27.0
GALYSHEVA Yulia - KAZ - World Cup 3 - 2019 - Qualification 1,74.59,5,Women,-3.0,15.8,15.5,15.9,15.6,16.2,7.2,8.0,1,1,KAZ,1,1,-1.0,2019,2019-World Cup 3,Qualification 1,0.0,28.0
PAVLENKO Aleksey - RUS - World Cup 1 - 2019 - Qualification 1,67.32,34,Men,-3.0,14.7,14.8,14.7,15.0,15.0,8.0,7.8,0,0,RUS,0,0,0.0,2019,2019-World Cup 1,Qualification 1,0.0,25.0
ANTHONY Jakara - AUS - World Cup 3 - 2019 - Final 2,74.89,4,Women,1.0,16.0,16.8,16.0,17.2,15.8,7.7,7.9,1,1,AUS,1,0,-1.0,2019,2019-World Cup 3,Final 2,0.0,22.0
GIACCIO Olivia - USA - World Cup 3 - 2019 - Qualification 1,75.52,3,Women,-3.0,15.0,15.8,15.9,16.5,15.5,6.9,7.5,0,0,USA,0,0,-1.0,2019,2019-World Cup 3,Qualification 1,0.0,20.0
ANTHONY Jakara - AUS - World Cup 6 - 2019 - Final 2,79.87,2,Women,0.0,17.3,16.7,16.1,17.6,17.4,8.5,8.1,1,1,AUS,1,0,0.0,2019,2019-World Cup 6,Final 2,0.0,22.0
WILLIS Max - GBR - World Cup 5 - 2019 - Qualification 1,29.76,52,Men,-19.0,13.0,11.2,14.0,13.8,10.1,5.2,5.6,0,0,GBR,0,0,-3.0,2019,2019-World Cup 5,Qualification 1,0.0,27.0
ELOFSSON Felix - SWE - World Cup 2 - 2019 - Final 1,57.84,15,Men,-12.0,16.5,16.5,17.1,16.1,16.1,7.0,7.1,0,0,SWE,0,0,-3.0,2019,2019-World Cup 2,Final 1,0.0,25.0
CHEVSKII Ilia - RUS - World Cup 3 - 2019 - Qualification 1,67.27,34,Men,-3.0,16.0,14.5,13.9,14.2,14.4,7.0,8.2,0,0,RUS,0,0,-1.0,2019,2019-World Cup 3,Qualification 1,0.0,22.0
HOSHINO Junko - JPN - World Cup 2 - 2019 - Qualification 1,71.86,8,Women,-12.0,15.6,15.9,15.8,16.0,15.9,8.2,8.1,0,0,JPN,0,0,-3.0,2019,2019-World Cup 2,Qualification 1,0.0,31.0
HORISHIMA Ikuma - JPN - World Cup 5 - 2019 - Final 2,85.02,2,Men,-19.0,18.1,17.2,18.0,17.8,18.1,9.1,9.9,1,1,JPN,0,0,-3.0,2019,2019-World Cup 5,Final 2,0.0,23.0
ELOFSSON Oskar - SWE - World Cup 3 - 2019 - Qualification 1,70.04,27,Men,-3.0,16.0,14.5,15.3,16.9,15.7,7.3,7.1,0,0,SWE,0,0,-1.0,2019,2019-World Cup 3,Qualification 1,0.0,22.0
KINGSBURY Mikael - CAN - World Cup 1 - 2019 - Final 2,88.14,1,Men,-3.0,18.1,18.3,18.1,18.2,18.2,9.5,9.7,1,1,CAN,1,1,-1.0,2019,2019-World Cup 1,Final 2,0.0,28.0
HORISHIMA Ikuma - JPN - World Cup 2 - 2019 - Qualification 1,76.93,14,Men,-12.0,15.9,16.0,16.9,16.0,17.5,7.8,7.8,1,1,JPN,0,0,-3.0,2019,2019-World Cup 2,Qualification 1,0.0,23.0
HORISHIMA Ikuma - JPN - World Cup 6 - 2019 - Final 1,84.03,1,Men,0.0,18.1,17.4,17.9,17.9,18.2,9.2,9.0,1,1,JPN,0,0,0.0,2019,2019-World Cup 6,Final 1,0.0,23.0
SEO Jung Hwa - KOR - World Cup 7 - 2019 - Qualification 1,69.13,15,Women,-3.0,16.3,16.5,16.0,17.0,17.2,3.8,3.8,0,0,KOR,0,0,-1.0,2019,2019-World Cup 7,Qualification 1,0.0,30.0
MARQUIS Philippe - CAN - World Cup 4 - 2019 - Final 1,77.64,8,Men,-6.0,16.8,16.8,16.7,16.9,16.7,9.5,8.6,1,0,CAN,0,0,-2.0,2019,2019-World Cup 4,Final 1,0.0,31.0
GULLACHSEN Kristine - NOR - World Cup 1 - 2019 - Qualification 1,63.93,23,Women,-3.0,15.3,14.5,14.2,12.8,15.1,6.3,5.8,0,0,NOR,0,0,-1.0,2019,2019-World Cup 1,Qualification 1,0.0,25.0
KAUF Jaelin - USA - World Championships - 2019 - Final 1,76.71,3,Women,-9.0,17.2,16.9,16.8,17.0,17.0,7.2,7.0,1,0,USA,0,0,-1.0,2019,2019-World Championships,Final 1,0.0,24.0
NILSSON Loke - SWE - World Cup 4 - 2019 - Qualification 1,68.0,40,Men,-18.0,15.0,16.1,15.0,15.6,14.9,5.2,6.0,0,0,SWE,0,0,-4.0,2019,2019-World Cup 4,Qualification 1,0.0,22.0
GERKEN SCHOFIELD Makayla - GBR - World Cup 2 - 2019 - Final 1,29.63,14,Women,-12.0,14.0,14.5,15.0,14.8,13.5,4.4,4.0,0,0,GBR,0,0,-3.0,2019,2019-World Cup 2,Final 1,0.0,21.0
ANTHONY Jakara - AUS - World Cup 4 - 2019 - Qualification 1,74.71,3,Women,-18.0,16.1,16.8,16.5,15.8,16.3,7.6,8.2,1,1,AUS,1,0,-4.0,2019,2019-World Cup 4,Qualification 1,0.0,22.0
BAILEY Hunter - USA - World Cup 3 - 2019 - Qualification 1,74.71,14,Men,-3.0,16.2,16.2,15.8,16.5,16.0,7.9,7.0,0,0,USA,0,0,-1.0,2019,2019-World Cup 3,Qualification 1,0.0,24.0
RETZER Mathew - CZE - World Championships - 2019 - Qualification 2,40.38,20,Men,-6.0,14.2,13.2,12.1,14.2,13.6,2.2,2.5,0,0,CZE,0,0,0.0,2019,2019-World Championships,Qualification 2,0.0,25.0
BOUARD Lea - FRA - World Cup 1 - 2019 - Qualification 1,66.56,19,Women,-3.0,16.2,15.5,14.8,15.2,15.6,5.9,6.0,0,0,FRA,0,0,-1.0,2019,2019-World Cup 1,Qualification 1,0.0,24.0
GERKEN SCHOFIELD Makayla - GBR - World Cup 1 - 2019 - Qualification 1,66.28,20,Women,-3.0,14.6,14.1,16.3,15.0,14.3,6.8,7.3,0,0,GBR,0,0,-1.0,2019,2019-World Cup 1,Qualification 1,0.0,21.0
KINGSBURY Mikael - CAN - World Cup 5 - 2019 - Final 2,86.73,1,Men,-19.0,18.0,18.3,18.0,18.3,17.9,8.1,8.9,1,1,CAN,1,1,-3.0,2019,2019-World Cup 5,Final 2,0.0,28.0
GIACCIO Olivia - USA - World Cup 5 - 2019 - Final 1,70.22,9,Women,-19.0,15.0,14.1,14.7,15.2,14.8,6.5,8.1,0,0,USA,0,0,-3.0,2019,2019-World Cup 5,Final 1,0.0,20.0
GAGNON Sofiane - CAN - World Cup 5 - 2019 - Final 1,70.22,8,Women,-19.0,15.2,15.4,14.9,15.4,15.0,6.5,6.4,0,0,CAN,0,0,-3.0,2019,2019-World Cup 5,Final 1,0.0,21.0
CHUNLAUD Kerrian - CAN - World Cup 7 - 2019 - Qualification 1,55.27,33,Men,-3.0,13.3,15.0,15.1,14.8,15.1,5.8,5.8,0,0,CAN,0,0,-1.0,2019,2019-World Cup 7,Qualification 1,0.0,27.0
HORISHIMA Ikuma - JPN - World Cup 2 - 2019 - Final 1,88.1,1,Men,-12.0,18.2,18.1,18.2,18.3,17.6,9.0,9.0,1,1,JPN,0,0,-3.0,2019,2019-World Cup 2,Final 1,0.0,23.0
SCHWINGHAMMER Maia - CAN - World Cup 5 - 2019 - Qualification 1,67.71,14,Women,-19.0,14.0,14.4,14.1,14.3,15.0,8.0,7.0,0,0,CAN,0,0,-3.0,2019,2019-World Cup 5,Qualification 1,0.0,19.0
WILLIS Max - GBR - World Cup 1 - 2019 - Qualification 1,24.07,55,Men,-3.0,10.0,11.5,12.0,10.2,11.0,3.0,3.7,0,0,GBR,0,0,0.0,2019,2019-World Cup 1,Qualification 1,0.0,27.0
ANDRINGA Casey - USA - World Cup 6 - 2019 - Final 1,77.69,10,Men,0.0,17.5,16.8,17.3,17.0,17.0,8.2,8.3,1,0,USA,1,0,0.0,2019,2019-World Cup 6,Final 1,0.0,25.0
