Athlete_Comp,Metric,Finish,Gender,Temp__Air,Judge_1_Score,Judge_2_Score,Judge_3_Score,Judge_4_Score,Judge_5_Score,Judge_6_Score__1,Judge_7_Score__1,Major_Finalist,Major_Medalist,Nation,Olympic_Finalist,Olympic_Medalist,Temp__Snow,Season,Season_Comp,Round,Wind,age_yrs
CROTTY Lexi - USA - North American Cup 1 - 2019 - Qualification 1,52.48,17,Women,0.0,13.6,14.3,13.0,14.3,15.0,4.0,5.0,0,0,USA,0,0,0.0,2019,2019-North American Cup 1,Qualification 1,0.0,20.0
DARRAH Kane - USA - North American Cup 1 - 2019 - Qualification 1,67.32,15,Men,0.0,14.3,13.6,15.8,15.1,15.7,7.8,8.5,0,0,USA,0,0,0.0,2019,2019-North American Cup 1,Qualification 1,0.0,18.0
WENDLER Landon - USA - North American Cup 2 - 2019 - Final 1,82.33,6,Men,0.0,17.8,17.9,17.8,17.8,17.3,8.5,8.4,0,0,USA,0,0,0.0,2019,2019-North American Cup 2,Final 1,0.0,20.0
LARGE Tegan - USA - North American Cup 1 - 2019 - Qualification 1,49.52,18,Women,0.0,15.7,12.3,13.1,13.7,15.7,5.1,4.5,0,0,USA,0,0,0.0,2019,2019-North American Cup 1,Qualification 1,0.0,17.0
BELSKY Spencer - USA - North American Cup 2 - 2019 - Qualification 1,72.03,29,Men,0.0,16.6,16.9,17.8,16.8,16.7,7.5,7.3,0,0,USA,0,0,0.0,2019,2019-North American Cup 2,Qualification 1,0.0,21.0
LESEUR John - BER - North American Cup 2 - 2019 - Qualification 1,63.93,48,Men,0.0,15.9,15.3,15.5,15.8,16.4,6.8,6.6,0,0,BER,0,0,0.0,2019,2019-North American Cup 2,Qualification 1,0.0,18.0
MATSUDA So - JPN - North American Cup 1 - 2019 - Final 2,77.85,4,Men,0.0,18.0,18.5,16.9,18.0,17.0,8.9,8.3,0,0,JPN,0,0,0.0,2019,2019-North American Cup 1,Final 2,0.0,21.0
MULDER Jessica - USA - North American Cup 1 - 2019 - Qualification 1,53.72,13,Women,0.0,13.7,13.4,14.9,14.3,14.8,4.1,4.9,0,0,USA,0,0,0.0,2019,2019-North American Cup 1,Qualification 1,0.0,21.0
MATSUDA So - JPN - North American Cup 2 - 2019 - Qualification 1,76.71,15,Men,0.0,16.8,17.9,17.0,18.3,18.3,7.0,6.4,0,0,JPN,0,0,0.0,2019,2019-North American Cup 2,Qualification 1,0.0,21.0
KOEHLER Kaylee - CAN - North American Cup 1 - 2019 - Qualification 1,54.77,11,Women,0.0,14.2,13.9,14.0,14.0,15.7,5.2,4.8,0,0,CAN,0,0,0.0,2019,2019-North American Cup 1,Qualification 1,0.0,17.0
KOSINSKI Henry - USA - North American Cup 1 - 2019 - Qualification 1,69.02,13,Men,0.0,15.3,15.6,14.7,15.3,16.6,7.2,8.0,0,0,USA,0,0,0.0,2019,2019-North American Cup 1,Qualification 1,0.0,19.0
SASAKI Taiga - JPN - North American Cup 2 - 2019 - Qualification 1,80.0,6,Men,0.0,18.4,17.9,17.8,18.3,18.2,8.4,7.8,0,0,JPN,0,0,0.0,2019,2019-North American Cup 2,Qualification 1,0.0,22.0
WENDLER Landon - USA - North American Cup 2 - 2019 - Final 2,82.07,4,Men,0.0,18.3,18.2,18.1,18.2,18.0,8.2,8.1,0,0,USA,0,0,0.0,2019,2019-North American Cup 2,Final 2,0.0,20.0
FUKUSHIMA Shunka - JPN - North American Cup 2 - 2019 - Final 2,80.72,1,Women,0.0,17.2,16.8,17.0,17.2,16.8,8.2,8.1,0,0,JPN,0,0,0.0,2019,2019-North American Cup 2,Final 2,0.0,21.0
DELSAME Florence - CAN - North American Cup 2 - 2019 - Final 1,70.66,13,Women,0.0,16.4,16.4,16.3,16.8,16.6,7.3,8.1,0,0,CAN,0,0,0.0,2019,2019-North American Cup 2,Final 1,0.0,19.0
HOGG Kasey - USA - North American Cup 1 - 2019 - Final 1,73.07,5,Women,0.0,15.8,16.6,16.4,16.0,16.2,8.1,7.4,0,0,USA,0,0,0.0,2019,2019-North American Cup 1,Final 1,0.0,17.0
BOSCO Emma - AUS - North American Cup 1 - 2019 - Qualification 1,60.13,1,Women,0.0,14.4,14.1,14.9,14.6,15.2,7.8,7.2,0,0,AUS,0,0,0.0,2019,2019-North American Cup 1,Qualification 1,0.0,18.0
TODD Kassidy - CAN - North American Cup 1 - 2019 - Qualification 1,57.07,8,Women,0.0,15.0,15.0,14.8,14.6,16.1,3.9,3.7,0,0,CAN,0,0,0.0,2019,2019-North American Cup 1,Qualification 1,0.0,22.0
TANIGUCHI Ayaho - JPN - North American Cup 2 - 2019 - Qualification 1,69.54,15,Women,0.0,16.6,16.4,16.8,15.7,16.4,5.5,6.2,0,0,JPN,0,0,0.0,2019,2019-North American Cup 2,Qualification 1,0.0,24.0
