Athlete_Comp,Metric,Finish,Gender,Temp__Air,Judge_1_Score,Judge_2_Score,Judge_3_Score,Judge_4_Score,Judge_5_Score,Judge_6_Score__1,Judge_7_Score__1,Major_Finalist,Major_Medalist,Nation,Olympic_Finalist,Olympic_Medalist,Temp__Snow,Season,Season_Comp,Round,Wind,age_yrs
DESMARAIS GILBERT Laurianne - CAN - North American Cup 1 - 2019 - Final 1,67.95,12,Women,0.0,15.7,15.7,15.6,15.7,15.6,8.0,7.2,0,0,CAN,0,0,0.0,2019,2019-North American Cup 1,Final 1,0.0,23.0
RYAN Maggie - USA - North American Cup 2 - 2019 - Final 1,78.5,2,Women,0.0,17.3,16.7,16.7,16.7,16.9,9.0,8.8,0,0,USA,0,0,0.0,2019,2019-North American Cup 2,Final 1,0.0,22.0
KARIOTIS Jack - USA - North American Cup 2 - 2019 - Final 1,82.15,7,Men,0.0,17.8,17.8,17.2,17.0,17.3,8.1,8.4,0,0,USA,0,0,0.0,2019,2019-North American Cup 2,Final 1,0.0,23.0
THIBAULT Olivier - CAN - North American Cup 1 - 2019 - Qualification 1,29.17,40,Men,0.0,15.0,14.2,14.2,15.6,14.2,6.5,7.0,0,0,CAN,0,0,0.0,2019,2019-North American Cup 1,Qualification 1,0.0,21.0
WARD Cole - USA - North American Cup 1 - 2019 - Qualification 1,63.84,25,Men,0.0,15.2,13.7,15.1,15.0,16.2,7.0,7.7,0,0,USA,0,0,0.0,2019,2019-North American Cup 1,Qualification 1,0.0,18.0
DELSAME Florence - CAN - North American Cup 1 - 2019 - Qualification 1,36.15,25,Women,0.0,13.8,12.6,13.8,14.3,13.8,7.2,7.0,0,0,CAN,0,0,0.0,2019,2019-North American Cup 1,Qualification 1,0.0,19.0
GARLING Mali - AUS - North American Cup 1 - 2019 - Qualification 1,46.83,22,Women,0.0,14.0,12.8,12.5,12.0,13.8,4.9,4.4,0,0,AUS,0,0,0.0,2019,2019-North American Cup 1,Qualification 1,0.0,21.0
JANSEN Daniella - USA - North American Cup 1 - 2019 - Qualification 1,45.32,23,Women,0.0,13.2,12.3,13.0,13.9,14.6,4.0,4.6,0,0,USA,0,0,0.0,2019,2019-North American Cup 1,Qualification 1,0.0,17.0
CORDELL Sam - CAN - North American Cup 1 - 2019 - Qualification 1,70.53,7,Men,0.0,16.6,16.1,16.4,16.1,17.2,7.0,8.0,0,0,CAN,0,0,0.0,2019,2019-North American Cup 1,Qualification 1,0.0,20.0
VAILLANCOURT Sandrine - CAN - North American Cup 1 - 2019 - Qualification 1,60.06,3,Women,0.0,14.3,13.7,14.8,15.5,16.2,7.0,7.0,0,0,CAN,0,0,0.0,2019,2019-North American Cup 1,Qualification 1,0.0,19.0
WARE Tori - USA - North American Cup 1 - 2019 - Qualification 1,59.32,5,Women,0.0,14.5,14.2,14.8,15.2,15.7,6.8,7.1,0,0,USA,0,0,0.0,2019,2019-North American Cup 1,Qualification 1,0.0,20.0
AGATSUMA Sora - JPN - North American Cup 1 - 2019 - Qualification 1,50.88,37,Men,0.0,15.0,15.2,15.6,15.9,13.8,7.4,6.7,0,0,JPN,0,0,0.0,2019,2019-North American Cup 1,Qualification 1,0.0,22.0
TOPALOVIC Ethan - AUS - North American Cup 2 - 2019 - Qualification 1,65.3,47,Men,0.0,15.2,15.2,15.6,15.9,16.0,8.0,7.9,0,0,AUS,0,0,0.0,2019,2019-North American Cup 2,Qualification 1,0.0,21.0
RETZER Mathew - CZE - North American Cup 1 - 2019 - Qualification 1,66.65,19,Men,0.0,14.8,15.1,15.6,15.5,15.9,6.5,6.7,0,0,CZE,0,0,0.0,2019,2019-North American Cup 1,Qualification 1,0.0,25.0
GETZ Taylor - USA - North American Cup 1 - 2019 - Qualification 1,53.07,16,Women,0.0,13.2,12.1,14.0,12.5,13.8,8.2,7.2,0,0,USA,0,0,0.0,2019,2019-North American Cup 1,Qualification 1,0.0,19.0
KURODA Brayden - CAN - North American Cup 2 - 2019 - Qualification 1,81.59,3,Men,0.0,17.7,17.5,17.3,18.1,18.0,8.6,8.3,0,0,CAN,0,0,0.0,2019,2019-North American Cup 2,Qualification 1,0.0,19.0
NISHITA Reika - JPN - North American Cup 2 - 2019 - Qualification 1,64.58,27,Women,0.0,15.3,16.1,16.1,15.8,16.7,4.1,5.0,0,0,JPN,0,0,0.0,2019,2019-North American Cup 2,Qualification 1,0.0,20.0
THIBAULT Olivier - CAN - North American Cup 2 - 2019 - Qualification 1,68.18,39,Men,0.0,16.4,15.7,16.0,16.7,15.9,5.9,5.2,0,0,CAN,0,0,0.0,2019,2019-North American Cup 2,Qualification 1,0.0,21.0
KARIOTIS Jack - USA - North American Cup 1 - 2019 - Final 1,79.19,5,Men,0.0,16.0,17.4,17.0,16.2,17.5,8.3,8.0,0,0,USA,0,0,0.0,2019,2019-North American Cup 1,Final 1,0.0,23.0
KARIOTIS Kylie - USA - North American Cup 2 - 2019 - Qualification 1,63.75,28,Women,0.0,16.2,16.2,14.5,14.7,16.0,5.3,5.3,0,0,USA,0,0,0.0,2019,2019-North American Cup 2,Qualification 1,0.0,16.0
LESSARD Olivier - CAN - North American Cup 2 - 2019 - Qualification 1,71.02,31,Men,0.0,17.0,15.8,15.8,15.6,15.8,6.4,6.8,0,0,CAN,0,0,0.0,2019,2019-North American Cup 2,Qualification 1,0.0,22.0
INUI Takami - JPN - North American Cup 2 - 2019 - Qualification 1,72.85,24,Men,0.0,16.8,16.4,16.0,16.0,16.9,7.1,7.8,0,0,JPN,0,0,0.0,2019,2019-North American Cup 2,Qualification 1,0.0,23.0
DESMARAIS GILBERT Laurianne - CAN - North American Cup 2 - 2019 - Qualification 1,76.49,4,Women,0.0,16.5,16.0,17.0,16.9,16.6,7.6,7.8,0,0,CAN,0,0,0.0,2019,2019-North American Cup 2,Qualification 1,0.0,23.0
CASS Sabrina - USA - North American Cup 1 - 2019 - Final 1,65.07,14,Women,0.0,16.2,16.1,15.6,13.8,15.0,6.0,5.0,0,0,USA,0,0,0.0,2019,2019-North American Cup 1,Final 1,0.0,18.0
VAN DER MERWE Dylan - CAN - North American Cup 1 - 2019 - Qualification 1,56.85,33,Men,0.0,14.4,14.1,15.2,14.0,15.5,4.8,4.2,0,0,CAN,0,0,0.0,2019,2019-North American Cup 1,Qualification 1,0.0,19.0
TIKTINSKY Peter - USA - North American Cup 1 - 2019 - Qualification 1,22.27,41,Men,0.0,14.0,13.1,13.0,12.0,11.1,5.9,6.0,0,0,USA,0,0,0.0,2019,2019-North American Cup 1,Qualification 1,0.0,22.0
HILGERT Lauren - USA - North American Cup 2 - 2019 - Qualification 1,62.17,32,Women,0.0,14.9,15.2,15.2,14.8,15.3,6.3,6.7,0,0,USA,0,0,0.0,2019,2019-North American Cup 2,Qualification 1,0.0,20.0
MCQUINN Carter - USA - North American Cup 1 - 2019 - Qualification 1,61.5,31,Men,0.0,15.1,15.0,15.0,14.9,15.4,8.1,7.5,0,0,USA,0,0,0.0,2019,2019-North American Cup 1,Qualification 1,0.0,20.0
MARCELLINI Dylan - USA - North American Cup 1 - 2019 - Qualification 1,38.17,39,Men,0.0,13.8,14.6,13.4,14.5,12.0,5.9,6.0,0,0,USA,0,0,0.0,2019,2019-North American Cup 1,Qualification 1,0.0,18.0
DESMARAIS GILBERT Laurianne - CAN - North American Cup 2 - 2019 - Final 1,74.96,9,Women,0.0,16.9,17.0,16.7,16.9,16.8,8.9,9.1,0,0,CAN,0,0,0.0,2019,2019-North American Cup 2,Final 1,0.0,23.0
WENDLER Landon - USA - North American Cup 1 - 2019 - Final 1,81.48,2,Men,0.0,17.4,18.1,17.5,17.6,17.8,9.0,9.1,0,0,USA,0,0,0.0,2019,2019-North American Cup 1,Final 1,0.0,20.0
CHALIFOUX Louis David - CAN - North American Cup 2 - 2019 - Final 2,83.35,2,Men,0.0,18.1,18.3,18.4,18.3,18.2,8.7,8.6,0,0,CAN,0,0,0.0,2019,2019-North American Cup 2,Final 2,0.0,18.0
LINTON Jessica - CAN - North American Cup 2 - 2019 - Qualification 1,68.48,20,Women,0.0,16.5,15.8,15.6,16.3,16.1,8.0,7.8,0,0,CAN,0,0,0.0,2019,2019-North American Cup 2,Qualification 1,0.0,19.0
BARNDT Karsten - USA - North American Cup 2 - 2019 - Qualification 1,77.32,13,Men,0.0,16.7,17.4,17.1,17.2,17.6,7.2,7.7,0,0,USA,0,0,0.0,2019,2019-North American Cup 2,Qualification 1,0.0,20.0
WENDLER Landon - USA - North American Cup 2 - 2019 - Qualification 1,77.79,12,Men,0.0,17.7,17.8,17.6,18.0,18.3,8.0,7.3,0,0,USA,0,0,0.0,2019,2019-North American Cup 2,Qualification 1,0.0,20.0
KAWATA Yuka - JPN - North American Cup 2 - 2019 - Qualification 1,76.74,3,Women,0.0,17.8,17.0,16.2,16.8,17.2,7.8,7.6,0,0,JPN,0,0,0.0,2019,2019-North American Cup 2,Qualification 1,0.0,22.0
DESAUTELS Mats - CAN - North American Cup 2 - 2019 - Qualification 1,70.21,32,Men,0.0,16.4,16.2,16.0,16.3,16.9,7.8,7.3,0,0,CAN,0,0,0.0,2019,2019-North American Cup 2,Qualification 1,0.0,21.0
RYAN Maggie - USA - North American Cup 2 - 2019 - Qualification 1,73.92,9,Women,0.0,16.7,16.4,16.3,16.1,15.2,7.5,7.2,0,0,USA,0,0,0.0,2019,2019-North American Cup 2,Qualification 1,0.0,22.0
FENELEY William - GBR - North American Cup 1 - 2019 - Final 1,73.92,14,Men,0.0,16.7,16.5,16.8,16.6,17.1,6.0,5.5,0,0,GBR,0,0,0.0,2019,2019-North American Cup 1,Final 1,0.0,21.0
STEWART Georgia - AUS - North American Cup 1 - 2019 - Final 1,64.51,15,Women,0.0,14.3,14.9,15.0,14.3,14.0,8.0,7.4,0,0,AUS,0,0,0.0,2019,2019-North American Cup 1,Final 1,0.0,20.0
SCHUNK Harrison - USA - North American Cup 2 - 2019 - Qualification 1,68.21,38,Men,0.0,14.8,16.1,16.0,15.5,14.9,8.1,7.9,0,0,USA,0,0,0.0,2019,2019-North American Cup 2,Qualification 1,0.0,21.0
KARIOTIS Ali - USA - North American Cup 1 - 2019 - Final 2,72.64,4,Women,0.0,14.8,16.3,15.5,15.1,15.7,8.0,8.4,0,0,USA,0,0,0.0,2019,2019-North American Cup 1,Final 2,0.0,25.0
KOEHLER Kaylee - CAN - North American Cup 2 - 2019 - Final 1,77.01,6,Women,0.0,17.0,17.1,16.9,16.5,16.6,7.9,8.3,0,0,CAN,0,0,0.0,2019,2019-North American Cup 2,Final 1,0.0,17.0
HEIMS Kalman - USA - North American Cup 1 - 2019 - Final 2,81.25,2,Men,0.0,17.4,18.2,16.1,17.8,17.6,9.4,8.8,0,0,USA,0,0,0.0,2019,2019-North American Cup 1,Final 2,0.0,20.0
RADWAY Kenzie - USA - North American Cup 1 - 2019 - Final 2,76.94,2,Women,0.0,15.8,17.6,15.7,17.1,16.0,8.3,8.4,0,0,USA,0,0,0.0,2019,2019-North American Cup 1,Final 2,0.0,17.0
MURPHY Tanner - USA - North American Cup 1 - 2019 - Final 1,76.94,11,Men,0.0,15.8,17.5,17.0,16.9,17.2,7.6,7.5,0,0,USA,0,0,0.0,2019,2019-North American Cup 1,Final 1,0.0,20.0
LEWIS Alex - USA - North American Cup 2 - 2019 - Qualification 1,81.74,2,Men,0.0,18.0,17.9,18.0,17.7,17.4,7.8,8.1,0,0,USA,0,0,0.0,2019,2019-North American Cup 2,Qualification 1,0.0,21.0
WOODS TOPALOVIC Cooper - AUS - North American Cup 2 - 2019 - Qualification 1,81.91,1,Men,0.0,17.8,17.8,17.3,17.5,18.3,9.8,9.8,0,0,AUS,0,0,0.0,2019,2019-North American Cup 2,Qualification 1,0.0,20.0
KOIWA Kai - JPN - North American Cup 2 - 2019 - Qualification 1,70.2,33,Men,0.0,15.3,16.0,15.0,14.9,16.0,7.0,7.0,0,0,JPN,0,0,0.0,2019,2019-North American Cup 2,Qualification 1,0.0,31.0
FENELEY William - GBR - North American Cup 2 - 2019 - Qualification 1,74.9,19,Men,0.0,17.6,17.3,18.0,17.2,16.6,8.6,8.6,0,0,GBR,0,0,0.0,2019,2019-North American Cup 2,Qualification 1,0.0,21.0
NADEAU Jean Christophe - CAN - North American Cup 2 - 2019 - Qualification 1,59.01,54,Men,0.0,16.1,16.8,14.9,15.0,16.0,7.5,7.1,0,0,CAN,0,0,0.0,2019,2019-North American Cup 2,Qualification 1,0.0,22.0
FUKUSHIMA Shunka - JPN - North American Cup 1 - 2019 - Qualification 1,60.09,2,Women,0.0,14.1,15.3,14.0,14.3,13.8,8.2,8.0,0,0,JPN,0,0,0.0,2019,2019-North American Cup 1,Qualification 1,0.0,21.0
BETY Marc Antoine - CAN - North American Cup 1 - 2019 - Qualification 1,72.4,1,Men,0.0,17.3,18.1,17.5,16.7,16.9,7.0,7.4,0,0,CAN,0,0,0.0,2019,2019-North American Cup 1,Qualification 1,0.0,22.0
HOGG Madison - USA - North American Cup 2 - 2019 - Qualification 1,69.01,17,Women,0.0,16.0,15.8,6.0,15.8,16.0,7.6,6.4,0,0,USA,0,0,0.0,2019,2019-North American Cup 2,Qualification 1,0.0,19.0
ONEILL Taylah - AUS - North American Cup 1 - 2019 - Final 2,40.44,6,Women,0.0,15.4,15.2,15.7,14.0,13.5,8.5,8.2,0,0,AUS,0,0,0.0,2019,2019-North American Cup 1,Final 2,0.0,26.0
MARLEY Garrett - USA - North American Cup 1 - 2019 - Qualification 1,72.26,2,Men,0.0,16.1,16.7,15.1,16.5,16.0,8.3,8.4,0,0,USA,0,0,0.0,2019,2019-North American Cup 1,Qualification 1,0.0,20.0
SCHWINGHAMER Mackenzie - CAN - North American Cup 2 - 2019 - Final 1,77.51,4,Women,0.0,17.0,16.8,17.3,16.9,17.1,6.7,7.0,0,0,CAN,0,0,0.0,2019,2019-North American Cup 2,Final 1,0.0,21.0
BARNDT Karsten - USA - North American Cup 1 - 2019 - Qualification 1,66.74,17,Men,0.0,15.3,16.3,14.7,14.7,15.8,6.2,6.3,0,0,USA,0,0,0.0,2019,2019-North American Cup 1,Qualification 1,0.0,20.0
PAGE Nick - USA - North American Cup 2 - 2019 - Qualification 1,78.43,11,Men,0.0,17.8,17.7,17.4,17.9,17.6,8.0,7.7,0,0,USA,0,0,0.0,2019,2019-North American Cup 2,Qualification 1,0.0,18.0
FUKUSHIMA Shunka - JPN - North American Cup 2 - 2019 - Final 1,80.41,1,Women,0.0,17.2,16.6,17.0,17.3,16.8,8.1,8.4,0,0,JPN,0,0,0.0,2019,2019-North American Cup 2,Final 1,0.0,21.0
TANNER Marc - CAN - North American Cup 2 - 2019 - Qualification 1,65.77,45,Men,0.0,15.3,15.3,15.0,14.5,15.0,7.7,7.3,0,0,CAN,0,0,0.0,2019,2019-North American Cup 2,Qualification 1,0.0,19.0
KURODA Brayden - CAN - North American Cup 1 - 2019 - Final 1,79.04,7,Men,0.0,17.2,18.1,17.1,17.5,17.4,8.7,8.9,0,0,CAN,0,0,0.0,2019,2019-North American Cup 1,Final 1,0.0,19.0
CHALIFOUX Louis David - CAN - North American Cup 2 - 2019 - Final 1,82.89,5,Men,0.0,17.7,18.4,18.2,18.3,18.6,8.3,8.6,0,0,CAN,0,0,0.0,2019,2019-North American Cup 2,Final 1,0.0,18.0
TANNER Daniel - CAN - North American Cup 1 - 2019 - Qualification 1,19.21,42,Men,0.0,14.0,14.2,12.0,14.8,14.2,8.4,8.1,0,0,CAN,0,0,0.0,2019,2019-North American Cup 1,Qualification 1,0.0,22.0
MIKKELSEN Maya - CAN - North American Cup 2 - 2019 - Qualification 1,68.03,23,Women,0.0,15.1,15.6,15.2,14.9,15.0,7.8,7.4,0,0,CAN,0,0,0.0,2019,2019-North American Cup 2,Qualification 1,0.0,17.0
REILLY Trevor - USA - North American Cup 2 - 2019 - Qualification 1,73.3,22,Men,0.0,16.2,16.7,16.5,16.6,16.0,7.0,6.3,0,0,USA,0,0,0.0,2019,2019-North American Cup 2,Qualification 1,0.0,24.0
PARSONS Jackson - CAN - North American Cup 1 - 2019 - Qualification 1,62.34,27,Men,0.0,15.7,14.3,14.9,16.0,16.0,6.3,6.8,0,0,CAN,0,0,0.0,2019,2019-North American Cup 1,Qualification 1,0.0,21.0
CASS Sabrina - USA - North American Cup 2 - 2019 - Final 1,74.14,10,Women,0.0,16.8,16.8,16.5,16.6,17.0,6.5,6.9,0,0,USA,0,0,0.0,2019,2019-North American Cup 2,Final 1,0.0,18.0
RADWAY Kenzie - USA - North American Cup 2 - 2019 - Qualification 1,75.06,8,Women,0.0,16.1,16.7,16.3,16.0,17.0,7.4,7.9,0,0,USA,0,0,0.0,2019,2019-North American Cup 2,Qualification 1,0.0,17.0
KOSINSKI Henry - USA - North American Cup 2 - 2019 - Qualification 1,66.92,42,Men,0.0,15.4,15.9,15.8,16.1,15.4,4.1,3.4,0,0,USA,0,0,0.0,2019,2019-North American Cup 2,Qualification 1,0.0,19.0
MCPHERSON Lizzy - USA - North American Cup 1 - 2019 - Qualification 1,49.41,19,Women,0.0,14.6,14.4,13.6,14.1,15.4,4.1,4.1,0,0,USA,0,0,0.0,2019,2019-North American Cup 1,Qualification 1,0.0,19.0
LINTON Jessica - CAN - North American Cup 1 - 2019 - Qualification 1,53.15,15,Women,0.0,13.4,13.6,13.1,14.4,15.1,8.5,8.2,0,0,CAN,0,0,0.0,2019,2019-North American Cup 1,Qualification 1,0.0,19.0
HILGERT Lauren - USA - North American Cup 1 - 2019 - Qualification 1,56.64,9,Women,0.0,13.7,12.3,13.2,14.6,15.5,7.0,6.7,0,0,USA,0,0,0.0,2019,2019-North American Cup 1,Qualification 1,0.0,20.0
GUELI Claudia - AUS - North American Cup 1 - 2019 - Final 1,68.31,11,Women,0.0,16.5,16.7,16.6,16.9,16.0,5.1,4.7,0,0,AUS,0,0,0.0,2019,2019-North American Cup 1,Final 1,0.0,23.0
WARE Tori - USA - North American Cup 2 - 2019 - Final 1,68.75,14,Women,0.0,15.5,15.9,15.7,16.2,16.1,6.9,7.4,0,0,USA,0,0,0.0,2019,2019-North American Cup 2,Final 1,0.0,20.0
KARIOTIS Jack - USA - North American Cup 1 - 2019 - Final 2,82.84,1,Men,0.0,16.6,18.0,16.7,17.5,17.6,8.7,9.0,0,0,USA,0,0,0.0,2019,2019-North American Cup 1,Final 2,0.0,23.0
PARSONS Jackson - CAN - North American Cup 2 - 2019 - Qualification 1,60.66,51,Men,0.0,14.8,15.2,15.6,15.0,14.8,5.4,4.5,0,0,CAN,0,0,0.0,2019,2019-North American Cup 2,Qualification 1,0.0,21.0
LESSARD Olivier - CAN - North American Cup 1 - 2019 - Qualification 1,70.31,9,Men,0.0,16.0,16.2,15.5,15.1,15.9,8.8,8.7,0,0,CAN,0,0,0.0,2019,2019-North American Cup 1,Qualification 1,0.0,22.0
STEWART Georgia - AUS - North American Cup 2 - 2019 - Qualification 1,71.82,12,Women,0.0,15.7,16.2,15.8,15.9,16.3,8.5,7.8,0,0,AUS,0,0,0.0,2019,2019-North American Cup 2,Qualification 1,0.0,20.0
VAILLANCOURT Sandrine - CAN - North American Cup 2 - 2019 - Qualification 1,71.07,13,Women,0.0,15.9,15.9,15.6,15.8,15.6,7.7,7.4,0,0,CAN,0,0,0.0,2019,2019-North American Cup 2,Qualification 1,0.0,19.0
OWENS Kai - USA - North American Cup 1 - 2019 - Final 2,77.71,1,Women,0.0,15.9,17.3,15.6,16.6,15.6,9.3,8.9,0,0,USA,0,0,0.0,2019,2019-North American Cup 1,Final 2,0.0,16.0
KAWATA Yuka - JPN - North American Cup 1 - 2019 - Final 1,61.21,16,Women,0.0,14.8,15.2,15.5,13.9,15.2,4.2,4.3,0,0,JPN,0,0,0.0,2019,2019-North American Cup 1,Final 1,0.0,22.0
STIEFEL Adam - USA - North American Cup 2 - 2019 - Qualification 1,73.2,23,Men,0.0,16.1,16.6,16.5,16.8,16.4,6.9,7.2,0,0,USA,0,0,0.0,2019,2019-North American Cup 2,Qualification 1,0.0,19.0
BELSKY Spencer - USA - North American Cup 1 - 2019 - Qualification 1,66.21,21,Men,0.0,15.7,15.4,15.0,15.2,16.4,7.3,7.2,0,0,USA,0,0,0.0,2019,2019-North American Cup 1,Qualification 1,0.0,21.0
WOODS TOPALOVIC Cooper - AUS - North American Cup 1 - 2019 - Final 1,78.66,8,Men,0.0,17.4,17.3,16.6,16.5,17.2,9.0,8.4,0,0,AUS,0,0,0.0,2019,2019-North American Cup 1,Final 1,0.0,20.0
LUCAS Nash - USA - North American Cup 1 - 2019 - Qualification 1,58.66,32,Men,0.0,14.5,14.3,13.2,13.8,15.6,5.9,6.4,0,0,USA,0,0,0.0,2019,2019-North American Cup 1,Qualification 1,0.0,18.0
GOODISON Samuel - CAN - North American Cup 1 - 2019 - Qualification 1,62.01,30,Men,0.0,14.6,13.9,13.8,15.7,14.0,7.1,7.7,0,0,CAN,0,0,0.0,2019,2019-North American Cup 1,Qualification 1,0.0,18.0
DESAUTELS Mats - CAN - North American Cup 1 - 2019 - Qualification 1,62.01,29,Men,0.0,15.0,14.1,14.6,14.1,15.4,6.4,7.0,0,0,CAN,0,0,0.0,2019,2019-North American Cup 1,Qualification 1,0.0,21.0
FRECHETTE Christian - CAN - North American Cup 2 - 2019 - Qualification 1,34.81,57,Men,0.0,14.8,15.8,13.8,14.5,14.0,6.4,6.2,0,0,CAN,0,0,0.0,2019,2019-North American Cup 2,Qualification 1,0.0,20.0
BUTTERWORTH Cassidy - CAN - North American Cup 2 - 2019 - Qualification 1,48.55,35,Women,0.0,14.0,13.1,14.0,14.1,13.9,6.8,5.1,0,0,CAN,0,0,0.0,2019,2019-North American Cup 2,Qualification 1,0.0,17.0
TANNER Daniel - CAN - North American Cup 2 - 2019 - Qualification 1,78.94,9,Men,0.0,18.0,18.0,17.9,17.9,18.3,8.7,8.0,0,0,CAN,0,0,0.0,2019,2019-North American Cup 2,Qualification 1,0.0,22.0
RADWAY Kenzie - USA - North American Cup 2 - 2019 - Final 1,77.99,3,Women,0.0,16.7,16.9,16.5,16.9,17.0,8.5,8.6,0,0,USA,0,0,0.0,2019,2019-North American Cup 2,Final 1,0.0,17.0
PORTELLO Ryan - CAN - North American Cup 1 - 2019 - Final 1,73.8,15,Men,0.0,17.0,17.1,16.2,16.1,17.0,8.0,7.4,0,0,CAN,0,0,0.0,2019,2019-North American Cup 1,Final 1,0.0,23.0
WARE Tori - USA - North American Cup 2 - 2019 - Qualification 1,71.0,14,Women,0.0,16.0,16.3,15.9,15.6,16.4,7.6,7.2,0,0,USA,0,0,0.0,2019,2019-North American Cup 2,Qualification 1,0.0,20.0
TANIGUCHI Ayaho - JPN - North American Cup 2 - 2019 - Final 1,73.97,11,Women,0.0,17.1,16.2,17.2,16.4,16.5,6.9,7.2,0,0,JPN,0,0,0.0,2019,2019-North American Cup 2,Final 1,0.0,24.0
