Athlete_Comp,Athlete_name,Gender,age_yrs,Nation,Judge_1_Score,Judge_2_Score,Judge_3_Score,Judge_4_Score,Judge_5_Score,Judge_6_Score_1,Judge_7_Score_1,Major_Finalist,Major_Medalist,Olympic_Finalist,Olympic_Medalist,Temp_Snow,Temp_Air,Wind,Season,Season_Comp,Round,Metric,Finish
CROTTY Lexi - USA - North American Cup 1 - 2019 - Qualification 1,CROTTY Lexi - USA,Women,20.0,USA,13.6,14.3,13.0,14.3,15.0,4.0,5.0,0,0,0,0,0.0,0.0,0.0,2019,2019-North American Cup 1,Qualification 1,52.48,17
DARRAH Kane - USA - North American Cup 1 - 2019 - Qualification 1,DARRAH Kane - USA,Men,18.0,USA,14.3,13.6,15.8,15.1,15.7,7.8,8.5,0,0,0,0,0.0,0.0,0.0,2019,2019-North American Cup 1,Qualification 1,67.32,15
WENDLER Landon - USA - North American Cup 2 - 2019 - Final 1,WENDLER Landon - USA,Men,20.0,USA,17.8,17.9,17.8,17.8,17.3,8.5,8.4,0,0,0,0,0.0,0.0,0.0,2019,2019-North American Cup 2,Final 1,82.33,6
LARGE Tegan - USA - North American Cup 1 - 2019 - Qualification 1,LARGE Tegan - USA,Women,17.0,USA,15.7,12.3,13.1,13.7,15.7,5.1,4.5,0,0,0,0,0.0,0.0,0.0,2019,2019-North American Cup 1,Qualification 1,49.52,18
BELSKY Spencer - USA - North American Cup 2 - 2019 - Qualification 1,BELSKY Spencer - USA,Men,21.0,USA,16.6,16.9,17.8,16.8,16.7,7.5,7.3,0,0,0,0,0.0,0.0,0.0,2019,2019-North American Cup 2,Qualification 1,72.03,29
LESEUR John - BER - North American Cup 2 - 2019 - Qualification 1,LESEUR John - BER,Men,18.0,BER,15.9,15.3,15.5,15.8,16.4,6.8,6.6,0,0,0,0,0.0,0.0,0.0,2019,2019-North American Cup 2,Qualification 1,63.93,48
MATSUDA So - JPN - North American Cup 1 - 2019 - Final 2,MATSUDA So - JPN,Men,21.0,JPN,18.0,18.5,16.9,18.0,17.0,8.9,8.3,0,0,0,0,0.0,0.0,0.0,2019,2019-North American Cup 1,Final 2,77.85,4
MULDER Jessica - USA - North American Cup 1 - 2019 - Qualification 1,MULDER Jessica - USA,Women,21.0,USA,13.7,13.4,14.9,14.3,14.8,4.1,4.9,0,0,0,0,0.0,0.0,0.0,2019,2019-North American Cup 1,Qualification 1,53.72,13
MATSUDA So - JPN - North American Cup 2 - 2019 - Qualification 1,MATSUDA So - JPN,Men,21.0,JPN,16.8,17.9,17.0,18.3,18.3,7.0,6.4,0,0,0,0,0.0,0.0,0.0,2019,2019-North American Cup 2,Qualification 1,76.71,15
KOEHLER Kaylee - CAN - North American Cup 1 - 2019 - Qualification 1,KOEHLER Kaylee - CAN,Women,17.0,CAN,14.2,13.9,14.0,14.0,15.7,5.2,4.8,0,0,0,0,0.0,0.0,0.0,2019,2019-North American Cup 1,Qualification 1,54.77,11
KOSINSKI Henry - USA - North American Cup 1 - 2019 - Qualification 1,KOSINSKI Henry - USA,Men,19.0,USA,15.3,15.6,14.7,15.3,16.6,7.2,8.0,0,0,0,0,0.0,0.0,0.0,2019,2019-North American Cup 1,Qualification 1,69.02,13
SASAKI Taiga - JPN - North American Cup 2 - 2019 - Qualification 1,SASAKI Taiga - JPN,Men,22.0,JPN,18.4,17.9,17.8,18.3,18.2,8.4,7.8,0,0,0,0,0.0,0.0,0.0,2019,2019-North American Cup 2,Qualification 1,80.0,6
WENDLER Landon - USA - North American Cup 2 - 2019 - Final 2,WENDLER Landon - USA,Men,20.0,USA,18.3,18.2,18.1,18.2,18.0,8.2,8.1,0,0,0,0,0.0,0.0,0.0,2019,2019-North American Cup 2,Final 2,82.07,4
FUKUSHIMA Shunka - JPN - North American Cup 2 - 2019 - Final 2,FUKUSHIMA Shunka - JPN,Women,21.0,JPN,17.2,16.8,17.0,17.2,16.8,8.2,8.1,0,0,0,0,0.0,0.0,0.0,2019,2019-North American Cup 2,Final 2,80.72,1
