Athlete_Comp_ID,Score_Metric,Finish_Rank,Gender,Judge_1_Score,Judge_2_Score,Judge_3_Score,Judge_4_Score,Judge_5_Score,Judge_6_Score_1,Judge_7_Score_1,Round_Group,Season,Season_Comp,Round,Wind,Athlete_name
OUTTRIM Eliza - USA - North American Cup 2 - 2010 - Final 1,76.97,1,Women,4.2,4.4,4.1,4.2,4.2,22.0,23.0,Finals,2010,2010-North American Cup 2,Final 1,,OUTTRIM Eliza - USA
DUFOUR LAPOINTE Justine - CAN - North American Cup 2 - 2010 - Final 1,76.6,2,Women,4.1,4.2,4.2,4.1,4.1,18.0,16.0,Finals,2010,2010-North American Cup 2,Final 1,,DUFOUR LAPOINTE Justine - CAN
ROBICHAUD Audrey - CAN - North American Cup 2 - 2010 - Final 1,76.1,3,Women,4.1,3.8,3.8,4.0,4.1,24.0,24.0,Finals,2010,2010-North American Cup 2,Final 1,,ROBICHAUD Audrey - CAN
DIGRAVIO Alison - USA - North American Cup 2 - 2010 - Final 1,73.07,4,Women,4.2,3.6,3.7,4.0,4.1,18.0,18.0,Finals,2010,2010-North American Cup 2,Final 1,,DIGRAVIO Alison - USA
BILODEAU Beatrice - CAN - North American Cup 2 - 2010 - Final 1,72.43,5,Women,4.1,3.9,4.0,3.6,4.0,18.0,20.0,Finals,2010,2010-North American Cup 2,Final 1,,BILODEAU Beatrice - CAN
KLOSER Heidi - USA - North American Cup 2 - 2010 - Final 1,71.2,6,Women,3.8,4.1,4.1,3.9,4.1,8.0,10.0,Finals,2010,2010-North American Cup 2,Final 1,,KLOSER Heidi - USA
HENCEROTH Whitney - USA - North American Cup 2 - 2010 - Final 1,68.13,7,Women,3.6,4.0,3.8,3.8,3.5,14.0,12.0,Finals,2010,2010-North American Cup 2,Final 1,,HENCEROTH Whitney - USA
ITO Azusa - JPN - North American Cup 2 - 2010 - Final 1,67.0,8,Women,3.7,3.8,4.0,4.1,3.7,12.0,15.0,Finals,2010,2010-North American Cup 2,Final 1,,ITO Azusa - JPN
ITO Satsuki - JPN - North American Cup 2 - 2010 - Final 1,66.33,9,Women,3.5,3.2,3.8,3.6,3.5,14.0,15.0,Finals,2010,2010-North American Cup 2,Final 1,,ITO Satsuki - JPN
DZIEMIAN Nessa - USA - North American Cup 2 - 2010 - Final 1,65.47,10,Women,3.6,3.7,3.8,3.8,3.8,14.0,16.0,Finals,2010,2010-North American Cup 2,Final 1,,DZIEMIAN Nessa - USA
DUFRESNE Alexandra - CAN - North American Cup 2 - 2010 - Final 1,65.33,11,Women,3.2,3.6,3.4,3.1,3.5,20.0,20.0,Finals,2010,2010-North American Cup 2,Final 1,,DUFRESNE Alexandra - CAN
HENITIUK Chelsea - CAN - North American Cup 2 - 2010 - Final 1,64.2,12,Women,3.4,3.3,3.5,3.4,3.6,16.0,14.0,Finals,2010,2010-North American Cup 2,Final 1,,HENITIUK Chelsea - CAN
STOLTZNER Lane - USA - North American Cup 2 - 2010 - Final 1,59.73,13,Women,3.1,3.5,2.9,3.3,3.4,7.0,9.0,Finals,2010,2010-North American Cup 2,Final 1,,STOLTZNER Lane - USA
HAAS Ani - USA - North American Cup 2 - 2010 - Final 1,55.47,14,Women,2.4,2.3,2.4,2.3,2.7,15.0,13.0,Finals,2010,2010-North American Cup 2,Final 1,,HAAS Ani - USA
HOSHINO Junko - JPN - North American Cup 2 - 2010 - Final 1,38.27,15,Women,1.7,1.9,1.2,1.6,1.6,6.0,6.0,Finals,2010,2010-North American Cup 2,Final 1,,HOSHINO Junko - JPN
MIZUTANI Natsume - JAP - North American Cup 2 - 2010 - Final 1,21.3,16,Women,0.3,0.1,0.1,0.3,0.1,15.0,17.0,Finals,2010,2010-North American Cup 2,Final 1,,MIZUTANI Natsume - JAP
OAKLEY KC - USA - North American Cup 2 - 2010 - Qualification 1,20.540000000000003,17,Women,2.9,3.6,3.1,3.1,3.5,15.0,13.0,Qualification,2010,2010-North American Cup 2,Qualification 1,,OAKLEY KC - USA
HAMEL Christel - CAN - North American Cup 2 - 2010 - Qualification 1,18.8,18,Women,3.4,3.6,3.3,3.3,3.5,18.0,17.0,Qualification,2010,2010-North American Cup 2,Qualification 1,,HAMEL Christel - CAN
SERRA Annie - USA - North American Cup 2 - 2010 - Qualification 1,18.570000000000004,19,Women,3.4,4.0,3.4,3.2,3.4,11.0,14.0,Qualification,2010,2010-North American Cup 2,Qualification 1,,SERRA Annie - USA
CANNON Lindsey - USA - North American Cup 2 - 2010 - Qualification 1,18.500000000000004,20,Women,3.1,3.4,3.4,3.5,3.6,10.0,10.0,Qualification,2010,2010-North American Cup 2,Qualification 1,,CANNON Lindsey - USA
OUTTRIM Eliza - USA - North American Cup 3 - 2010 - Final 1,77.17,1,Women,4.0,4.3,4.1,4.0,3.9,20.0,20.0,Finals,2010,2010-North American Cup 3,Final 1,,OUTTRIM Eliza - USA
KLOSER Heidi - USA - North American Cup 3 - 2010 - Final 1,76.6,2,Women,4.1,4.4,4.1,4.0,4.0,16.0,17.0,Finals,2010,2010-North American Cup 3,Final 1,,KLOSER Heidi - USA
DIGRAVIO Alison - USA - North American Cup 3 - 2010 - Final 1,76.13,3,Women,4.0,4.2,4.2,4.1,4.2,18.0,18.0,Finals,2010,2010-North American Cup 3,Final 1,,DIGRAVIO Alison - USA
ROBICHAUD Audrey - CAN - North American Cup 3 - 2010 - Final 1,74.57,4,Women,3.8,4.1,4.0,3.7,3.6,20.0,21.0,Finals,2010,2010-North American Cup 3,Final 1,,ROBICHAUD Audrey - CAN
DUFOUR LAPOINTE Maxime - CAN - North American Cup 3 - 2010 - Final 1,73.33,5,Women,4.1,3.8,3.4,3.8,3.7,14.0,16.0,Finals,2010,2010-North American Cup 3,Final 1,,DUFOUR LAPOINTE Maxime - CAN
BILODEAU Beatrice - CAN - North American Cup 3 - 2010 - Final 1,72.97,6,Women,3.7,4.0,3.9,3.9,4.0,15.0,15.0,Finals,2010,2010-North American Cup 3,Final 1,,BILODEAU Beatrice - CAN
ITO Azusa - JPN - North American Cup 3 - 2010 - Final 1,70.63,7,Women,3.8,3.6,3.8,3.9,4.1,15.0,16.0,Finals,2010,2010-North American Cup 3,Final 1,,ITO Azusa - JPN
HENCEROTH Whitney - USA - North American Cup 3 - 2010 - Final 1,68.23,8,Women,3.7,3.6,4.0,3.6,3.4,12.0,13.0,Finals,2010,2010-North American Cup 3,Final 1,,HENCEROTH Whitney - USA
CANNON Lindsey - USA - North American Cup 3 - 2010 - Final 1,66.07,9,Women,3.2,3.9,3.8,3.6,3.3,12.0,14.0,Finals,2010,2010-North American Cup 3,Final 1,,CANNON Lindsey - USA
STEIN Alexa - USA - North American Cup 3 - 2010 - Final 1,66.03,10,Women,3.6,3.4,3.7,3.2,3.5,14.0,16.0,Finals,2010,2010-North American Cup 3,Final 1,,STEIN Alexa - USA
MATSUMOTO Ayako - JPN - North American Cup 3 - 2010 - Final 1,65.03,11,Women,3.2,3.4,3.5,3.1,3.2,14.0,15.0,Finals,2010,2010-North American Cup 3,Final 1,,MATSUMOTO Ayako - JPN
DUFRESNE Alexandra - CAN - North American Cup 3 - 2010 - Final 1,64.2,12,Women,3.1,3.3,3.6,3.3,3.1,17.0,17.0,Finals,2010,2010-North American Cup 3,Final 1,,DUFRESNE Alexandra - CAN
GAGNON Alex Anne - CAN - North American Cup 3 - 2010 - Final 1,63.27,13,Women,3.4,3.2,3.5,3.4,3.3,10.0,13.0,Finals,2010,2010-North American Cup 3,Final 1,,GAGNON Alex Anne - CAN
BUREAU Julie - CAN - North American Cup 3 - 2010 - Final 1,58.9,14,Women,3.1,2.8,2.6,2.5,2.5,13.0,16.0,Finals,2010,2010-North American Cup 3,Final 1,,BUREAU Julie - CAN
HOSHINO Junko - JPN - North American Cup 3 - 2010 - Final 1,57.13,15,Women,2.3,2.3,2.3,2.6,2.4,16.0,15.0,Finals,2010,2010-North American Cup 3,Final 1,,HOSHINO Junko - JPN
LOWEREE Brittany - USA - North American Cup 3 - 2010 - Final 1,28.03,16,Women,1.9,1.8,0.4,1.4,1.8,1.0,2.0,Finals,2010,2010-North American Cup 3,Final 1,,LOWEREE Brittany - USA
OAKLEY KC - USA - North American Cup 3 - 2010 - Qualification 1,27.96,17,Women,3.7,3.3,3.6,3.5,3.4,13.0,12.0,Qualification,2010,2010-North American Cup 3,Qualification 1,,OAKLEY KC - USA
SHINTANI Natsumi - JPN - North American Cup 3 - 2010 - Qualification 1,27.930000000000007,18,Women,3.4,3.6,3.3,3.6,3.5,10.0,12.0,Qualification,2010,2010-North American Cup 3,Qualification 1,,SHINTANI Natsumi - JPN
ITO Satsuki - JPN - North American Cup 3 - 2010 - Qualification 1,27.490000000000002,19,Women,3.4,3.1,3.2,3.5,3.3,14.0,12.0,Qualification,2010,2010-North American Cup 3,Qualification 1,,ITO Satsuki - JPN
SERRA Annie - USA - North American Cup 3 - 2010 - Qualification 1,27.490000000000002,20,Women,2.8,2.9,2.1,3.0,3.1,15.0,17.0,Qualification,2010,2010-North American Cup 3,Qualification 1,,SERRA Annie - USA
ROBICHAUD Audrey - CAN - North American Cup 1 - 2010 - Final 1,76.4,1,Women,4.1,4.1,4.1,4.5,3.9,23.0,20.0,Finals,2010,2010-North American Cup 1,Final 1,,ROBICHAUD Audrey - CAN
MATTHEWS Mikaela - USA - North American Cup 1 - 2010 - Final 1,71.57,2,Women,3.5,4.3,3.7,4.0,3.8,12.0,16.0,Finals,2010,2010-North American Cup 1,Final 1,,MATTHEWS Mikaela - USA
OUTTRIM Eliza - USA - North American Cup 1 - 2010 - Final 1,70.27,3,Women,4.0,4.4,3.7,4.0,4.2,18.0,20.0,Finals,2010,2010-North American Cup 1,Final 1,,OUTTRIM Eliza - USA
BILODEAU Beatrice - CAN - North American Cup 1 - 2010 - Final 1,68.1,4,Women,3.8,3.2,3.8,3.5,3.8,18.0,18.0,Finals,2010,2010-North American Cup 1,Final 1,,BILODEAU Beatrice - CAN
HAAS Ani - USA - North American Cup 1 - 2010 - Final 1,66.7,5,Women,3.7,3.8,3.5,3.3,4.0,16.0,16.0,Finals,2010,2010-North American Cup 1,Final 1,,HAAS Ani - USA
CANNON Lindsey - USA - North American Cup 1 - 2010 - Final 1,66.67,6,Women,3.5,4.0,3.8,4.0,3.5,18.0,17.0,Finals,2010,2010-North American Cup 1,Final 1,,CANNON Lindsey - USA
DIGRAVIO Alison - USA - North American Cup 1 - 2010 - Final 1,66.47,7,Women,3.4,3.7,3.7,3.9,3.7,16.0,17.0,Finals,2010,2010-North American Cup 1,Final 1,,DIGRAVIO Alison - USA
KLOSER Heidi - USA - North American Cup 1 - 2010 - Final 1,66.03,8,Women,3.6,3.6,3.8,3.5,3.6,18.0,19.0,Finals,2010,2010-North American Cup 1,Final 1,,KLOSER Heidi - USA
DUFOUR LAPOINTE Justine - CAN - North American Cup 1 - 2010 - Final 1,65.27,9,Women,4.0,3.5,3.6,3.3,3.8,20.0,17.0,Finals,2010,2010-North American Cup 1,Final 1,,DUFOUR LAPOINTE Justine - CAN
HENCEROTH Whitney - USA - North American Cup 1 - 2010 - Final 1,65.1,10,Women,3.7,3.6,3.6,3.3,3.7,13.0,11.0,Finals,2010,2010-North American Cup 1,Final 1,,HENCEROTH Whitney - USA
STOLTZNER Lane - USA - North American Cup 1 - 2010 - Final 1,62.5,11,Women,3.7,3.9,3.3,3.5,3.4,12.0,10.0,Finals,2010,2010-North American Cup 1,Final 1,,STOLTZNER Lane - USA
ITO Azusa - JPN - North American Cup 1 - 2010 - Final 1,61.97,12,Women,3.7,3.9,3.6,3.9,3.8,14.0,17.0,Finals,2010,2010-North American Cup 1,Final 1,,ITO Azusa - JPN
OAKLEY KC - USA - North American Cup 1 - 2010 - Final 1,61.77,13,Women,3.5,3.2,3.4,3.2,3.4,17.0,16.0,Finals,2010,2010-North American Cup 1,Final 1,,OAKLEY KC - USA
DZIEMIAN Nessa - USA - North American Cup 1 - 2010 - Final 1,60.77,14,Women,3.2,3.4,3.6,3.6,3.6,17.0,18.0,Finals,2010,2010-North American Cup 1,Final 1,,DZIEMIAN Nessa - USA
TAMURA Haruka - JPN - North American Cup 1 - 2010 - Final 1,58.3,15,Women,3.6,3.6,3.1,2.6,3.1,18.0,19.0,Finals,2010,2010-North American Cup 1,Final 1,,TAMURA Haruka - JPN
