Athlete_Comp,Metric,Finish,Gender,Judge_1_Score,Judge_2_Score,Judge_3_Score,Judge_4_Score,Judge_5_Score,Judge_6_Score_1,Judge_7_Score_1,Round_Group,Season,Season_Comp,Round,Wind,Athlete_name
MYSKO Alex - CAN - Canada Cup 1 - 2019 - Qualification 1,66.93,18,Men,15.4,15.8,15.8,15.5,15.5,7.8,8.0,Qualification,2019,2019-Canada Cup 1,Qualification 1,0.0,MYSKO Alex - CAN
DESAUTELS Mats - CAN - Canada Cup 1 - 2019 - Qualification 1,73.33,4,Men,15.8,15.9,15.4,16.1,15.0,8.0,8.2,Qualification,2019,2019-Canada Cup 1,Qualification 1,0.0,DESAUTELS Mats - CAN
RICE Lewis - CAN - Canadian Selections 1 - 2019 - Qualification 2,51.74,21,Men,12.9,12.9,14.7,15.2,14.8,5.4,5.6,Qualification,2019,2019-Canadian Selections 1,Qualification 2,0.0,RICE Lewis - CAN
KOBER Jordan - CAN - Canadian Selections 1 - 2019 - Final 1,74.89,4,Men,17.7,17.7,18.6,17.8,17.4,5.6,5.4,Finals,2019,2019-Canadian Selections 1,Final 1,0.0,KOBER Jordan - CAN
RICE Lewis - CAN - Canada Cup 1 - 2019 - Qualification 1,62.86,28,Men,15.2,15.9,15.8,14.9,16.4,8.0,7.8,Qualification,2019,2019-Canada Cup 1,Qualification 1,0.0,RICE Lewis - CAN
CORDELL Sam - CAN - Canadian Selections 1 - 2019 - Final 1,68.96,9,Men,17.8,16.9,16.4,17.2,16.6,5.1,4.2,Finals,2019,2019-Canadian Selections 1,Final 1,0.0,CORDELL Sam - CAN
CHALIFOUX Louis David - CAN - Canadian Selections 1 - 2019 - Qualification 1,77.64,1,Men,18.8,18.4,18.0,17.7,18.2,7.3,7.0,Qualification,2019,2019-Canadian Selections 1,Qualification 1,0.0,CHALIFOUX Louis David - CAN
PARSONS Jackson - CAN - Canadian Selections 1 - 2019 - Qualification 2,49.89,22,Men,14.1,14.0,13.6,14.6,15.5,5.7,6.0,Qualification,2019,2019-Canadian Selections 1,Qualification 2,0.0,PARSONS Jackson - CAN
BELLUCCI Massimo - CAN - Canada Cup 2 - 2019 - Qualification 1,72.44,3,Men,18.0,17.1,17.4,17.2,17.4,7.9,7.8,Qualification,2019,2019-Canada Cup 2,Qualification 1,0.0,BELLUCCI Massimo - CAN
DUBUC Jeremy - CAN - Canada Cup 1 - 2019 - Qualification 1,69.02,12,Men,15.3,15.8,15.7,16.4,15.4,7.5,7.4,Qualification,2019,2019-Canada Cup 1,Qualification 1,0.0,DUBUC Jeremy - CAN
BURNYEAT Brian - CAN - Canada Cup 2 - 2019 - Qualification 1,20.68,32,Men,12.2,12.6,11.9,9.1,10.1,5.0,5.0,Qualification,2019,2019-Canada Cup 2,Qualification 1,0.0,BURNYEAT Brian - CAN
ALLARD Jesse - CAN - Canada Cup 1 - 2019 - Qualification 1,60.27,32,Men,14.6,15.1,14.9,13.0,13.8,6.0,5.8,Qualification,2019,2019-Canada Cup 1,Qualification 1,0.0,ALLARD Jesse - CAN
MATTHEWS Aidan - CAN - Canada Cup 1 - 2019 - Qualification 2,58.45,24,Men,15.0,13.8,15.0,15.2,13.7,7.8,7.8,Qualification,2019,2019-Canada Cup 1,Qualification 2,0.0,MATTHEWS Aidan - CAN
LEBLANC Gage - CAN - Canada Cup 2 - 2019 - Qualification 2,25.45,19,Men,10.2,10.4,9.4,9.6,9.6,4.0,3.9,Qualification,2019,2019-Canada Cup 2,Qualification 2,0.0,LEBLANC Gage - CAN
GENEST Florent - CAN - Canada Cup 1 - 2019 - Qualification 2,46.28,35,Men,13.0,13.9,14.5,13.7,13.1,1.9,1.8,Qualification,2019,2019-Canada Cup 1,Qualification 2,0.0,GENEST Florent - CAN
