Athlete_Comp_ID,Score_Metric,Finish_Rank,Gender,Judge_1_Score,Judge_2_Score,Judge_3_Score,Judge_4_Score,Judge_5_Score,Judge_6_Score_1,Judge_7_Score_1,Round_Group,Season,Season_Comp,Round,Wind,Athlete_name
TRAA Kari - NOR - Olympics - 2002 - Final 1,86.47,1,Women,4.6,4.6,4.8,4.7,4.7,5.65,5.52,Finals,2002,2002-Olympics,Final 1,4.0,TRAA Kari - NOR
BAHRKE Shannon - USA - Olympics - 2002 - Final 1,83.53,2,Women,4.7,4.5,4.5,4.6,4.5,5.37,5.52,Finals,2002,2002-Olympics,Final 1,4.0,BAHRKE Shannon - USA
SATOYA Tae - JPN - Olympics - 2002 - Final 1,82.83,3,Women,4.5,4.5,4.4,4.5,4.7,4.94,4.94,Finals,2002,2002-Olympics,Final 1,4.0,SATOYA Tae - JPN
HEIL Jennifer - CAN - Olympics - 2002 - Final 1,82.8,4,Women,4.5,4.2,4.4,4.4,4.4,5.49,4.9,Finals,2002,2002-Olympics,Final 1,4.0,HEIL Jennifer - CAN
HARDAWAY Hannah - USA - Olympics - 2002 - Final 1,82.57,5,Women,4.5,4.5,4.6,4.4,4.6,5.04,5.18,Finals,2002,2002-Olympics,Final 1,4.0,HARDAWAY Hannah - USA
UEMURA Aiko - JPN - Olympics - 2002 - Final 1,82.2,6,Women,4.5,4.1,4.4,4.4,4.6,5.22,5.22,Finals,2002,2002-Olympics,Final 1,4.0,UEMURA Aiko - JPN
BATTELLE Ann - USA - Olympics - 2002 - Final 1,82.07,7,Women,4.7,4.6,4.7,4.6,4.4,4.79,4.49,Finals,2002,2002-Olympics,Final 1,4.0,BATTELLE Ann - USA
LAOURA Sandra - FRA - Olympics - 2002 - Final 1,80.4,8,Women,4.3,4.3,4.4,4.3,4.0,4.82,5.06,Finals,2002,2002-Olympics,Final 1,4.0,LAOURA Sandra - FRA
CHERKASOVA Marina - RUS - Olympics - 2002 - Final 1,78.4,9,Women,4.0,4.4,4.3,4.2,4.1,5.22,5.08,Finals,2002,2002-Olympics,Final 1,4.0,CHERKASOVA Marina - RUS
MARBLER Margarita - AUT - Olympics - 2002 - Final 1,77.27,10,Women,4.1,4.3,4.2,4.4,4.1,5.06,3.88,Finals,2002,2002-Olympics,Final 1,4.0,MARBLER Margarita - AUT
VORONA Elena - RUS - Olympics - 2002 - Final 1,77.23,11,Women,4.3,4.4,4.3,4.3,3.8,4.2,4.68,Finals,2002,2002-Olympics,Final 1,4.0,VORONA Elena - RUS
KARHU Minna - FIN - Olympics - 2002 - Final 1,76.9,12,Women,4.3,4.3,4.3,4.2,4.4,4.0,4.78,Finals,2002,2002-Olympics,Final 1,4.0,KARHU Minna - FIN
RINGSTAD Kelly - CAN - Olympics - 2002 - Final 1,76.2,13,Women,3.9,4.2,4.2,4.1,4.2,4.6,4.44,Finals,2002,2002-Olympics,Final 1,4.0,RINGSTAD Kelly - CAN
BRADLEY Tami - CAN - Olympics - 2002 - Final 1,61.53,14,Women,3.0,2.6,2.4,3.2,2.9,4.06,4.62,Finals,2002,2002-Olympics,Final 1,4.0,BRADLEY Tami - CAN
BERNTSEN Ingrid - NOR - Olympics - 2002 - Qualification 1,61.129999999999995,15,Women,4.0,3.9,4.3,4.0,4.1,4.48,4.79,Qualification,2002,2002-Olympics,Qualification 1,1.0,BERNTSEN Ingrid - NOR
