Athlete_Comp_ID,Athlete_name,Gender,age_yrs,Nation,Judge_1_Score,Judge_2_Score,Judge_3_Score,Judge_4_Score,Judge_5_Score,Judge_6_Score_1,Judge_7_Score_1,Major_Finalist,Major_Medalist,Olympic_Finalist,Olympic_Medalist,Temp_Snow,Temp_Air,Wind,Season,Season_Comp,Round,Score_Metric,Finish_Rank
ELOFSSON Felix - SWE - World Cup 2 - 2019 - Final 1,ELOFSSON Felix - SWE,Men,25.0,SWE,16.5,16.5,17.1,16.1,16.1,7.0,7.1,0,0,0,0,-3.0,-12.0,0.0,2019,2019-World Cup 2,Final 1,57.84,15
HORISHIMA Ikuma - JPN - World Cup 5 - 2019 - Final 2,HORISHIMA Ikuma - JPN,Men,23.0,JPN,18.1,17.2,18.0,17.8,18.1,9.1,9.9,1,1,0,0,-3.0,-19.0,0.0,2019,2019-World Cup 5,Final 2,85.02,2
KINGSBURY Mikael - CAN - World Cup 1 - 2019 - Final 2,KINGSBURY Mikael - CAN,Men,28.0,CAN,18.1,18.3,18.1,18.2,18.2,9.5,9.7,1,1,1,1,-1.0,-3.0,0.0,2019,2019-World Cup 1,Final 2,88.14,1
HORISHIMA Ikuma - JPN - World Cup 6 - 2019 - Final 1,HORISHIMA Ikuma - JPN,Men,23.0,JPN,18.1,17.4,17.9,17.9,18.2,9.2,9.0,1,1,0,0,0.0,0.0,0.0,2019,2019-World Cup 6,Final 1,84.03,1
MARQUIS Philippe - CAN - World Cup 4 - 2019 - Final 1,MARQUIS Philippe - CAN,Men,31.0,CAN,16.8,16.8,16.7,16.9,16.7,9.5,8.6,1,0,0,0,-2.0,-6.0,0.0,2019,2019-World Cup 4,Final 1,77.64,8
KINGSBURY Mikael - CAN - World Cup 5 - 2019 - Final 2,KINGSBURY Mikael - CAN,Men,28.0,CAN,18.0,18.3,18.0,18.3,17.9,8.1,8.9,1,1,1,1,-3.0,-19.0,0.0,2019,2019-World Cup 5,Final 2,86.73,1
HORISHIMA Ikuma - JPN - World Cup 2 - 2019 - Final 1,HORISHIMA Ikuma - JPN,Men,23.0,JPN,18.2,18.1,18.2,18.3,17.6,9.0,9.0,1,1,0,0,-3.0,-12.0,0.0,2019,2019-World Cup 2,Final 1,88.1,1
ANDRINGA Casey - USA - World Cup 6 - 2019 - Final 1,ANDRINGA Casey - USA,Men,25.0,USA,17.5,16.8,17.3,17.0,17.0,8.2,8.3,1,0,1,0,0.0,0.0,0.0,2019,2019-World Cup 6,Final 1,77.69,10
GRAHAM Matt - AUS - World Cup 5 - 2019 - Final 1,GRAHAM Matt - AUS,Men,26.0,AUS,16.7,17.3,17.1,17.4,17.6,7.6,7.7,1,1,1,1,-3.0,-19.0,0.0,2019,2019-World Cup 5,Final 1,80.13,4
MARQUIS Philippe - CAN - World Cup 6 - 2019 - Final 1,MARQUIS Philippe - CAN,Men,31.0,CAN,17.6,17.6,17.3,17.5,17.4,9.1,9.3,1,0,0,0,0.0,0.0,0.0,2019,2019-World Cup 6,Final 1,80.72,4
HARA Daichi - JPN - World Cup 1 - 2019 - Final 1,HARA Daichi - JPN,Men,23.0,JPN,17.5,17.3,17.7,17.4,17.6,7.0,8.0,1,1,1,1,-1.0,-3.0,0.0,2019,2019-World Cup 1,Final 1,78.47,10
WALCZYK Dylan - USA - World Cup 4 - 2019 - Final 1,WALCZYK Dylan - USA,Men,27.0,USA,16.3,15.7,15.7,16.5,15.7,6.8,6.8,0,0,0,0,-2.0,-6.0,0.0,2019,2019-World Cup 4,Final 1,75.94,10
GRAHAM Matt - AUS - World Championships - 2019 - Final 1,GRAHAM Matt - AUS,Men,26.0,AUS,17.9,17.1,17.8,18.0,17.4,8.2,7.8,1,1,1,1,-1.0,-9.0,0.0,2019,2019-World Championships,Final 1,82.97,2
SHIKATA Motoki - JPN - World Cup 4 - 2019 - Final 1,SHIKATA Motoki - JPN,Men,27.0,JPN,13.9,14.0,12.1,12.0,11.8,8.2,7.9,0,0,0,0,-2.0,-6.0,0.0,2019,2019-World Cup 4,Final 1,66.23,14
HARA Daichi - JPN - World Cup 7 - 2019 - Final 1,HARA Daichi - JPN,Men,23.0,JPN,17.5,17.4,17.5,17.3,17.0,7.4,7.1,1,1,1,1,-1.0,-3.0,0.0,2019,2019-World Cup 7,Final 1,81.23,5
KOLMAKOV Pavel - KAZ - World Cup 2 - 2019 - Final 1,KOLMAKOV Pavel - KAZ,Men,24.0,KAZ,16.9,17.0,17.4,16.1,16.4,8.7,8.9,0,0,0,0,-3.0,-12.0,0.0,2019,2019-World Cup 2,Final 1,31.16,16
ELOFSSON Oskar - SWE - World Cup 6 - 2019 - Final 1,ELOFSSON Oskar - SWE,Men,22.0,SWE,15.8,16.9,17.0,16.7,16.8,8.4,8.2,0,0,0,0,0.0,0.0,0.0,2019,2019-World Cup 6,Final 1,75.28,12
GRAHAM Matt - AUS - World Cup 1 - 2019 - Final 1,GRAHAM Matt - AUS,Men,26.0,AUS,17.2,17.1,17.1,16.9,17.0,8.1,8.1,1,1,1,1,-1.0,-3.0,0.0,2019,2019-World Cup 1,Final 1,80.34,8
FJALLSTROM Ludvig - SWE - World Cup 2 - 2019 - Final 1,FJALLSTROM Ludvig - SWE,Men,27.0,SWE,17.4,17.5,17.1,17.5,17.2,8.9,9.0,0,0,0,0,-3.0,-12.0,0.0,2019,2019-World Cup 2,Final 1,78.76,8
MARQUIS Philippe - CAN - World Championships - 2019 - Final 1,MARQUIS Philippe - CAN,Men,31.0,CAN,17.0,17.2,17.0,16.7,16.7,9.0,9.2,1,0,0,0,-1.0,-9.0,0.0,2019,2019-World Championships,Final 1,79.64,5
WALCZYK Dylan - USA - World Cup 7 - 2019 - Final 1,WALCZYK Dylan - USA,Men,27.0,USA,18.1,17.0,16.6,17.0,16.9,9.0,9.1,0,0,0,0,-1.0,-3.0,0.0,2019,2019-World Cup 7,Final 1,79.93,8
DUMAIS Laurent - CAN - World Cup 1 - 2019 - Final 1,DUMAIS Laurent - CAN,Men,24.0,CAN,17.2,17.3,17.7,17.4,17.5,7.9,7.4,0,0,0,0,-1.0,-3.0,0.0,2019,2019-World Cup 1,Final 1,78.37,11
HORISHIMA Ikuma - JPN - World Cup 1 - 2019 - Final 1,HORISHIMA Ikuma - JPN,Men,23.0,JPN,17.0,17.5,17.5,17.4,17.4,8.3,7.7,1,1,0,0,-1.0,-3.0,0.0,2019,2019-World Cup 1,Final 1,81.14,6
FJALLSTROM Ludvig - SWE - World Cup 7 - 2019 - Final 1,FJALLSTROM Ludvig - SWE,Men,27.0,SWE,17.2,17.2,17.2,17.0,17.8,9.3,9.2,0,0,0,0,-1.0,-3.0,0.0,2019,2019-World Cup 7,Final 1,81.14,6
FJALLSTROM Ludvig - SWE - World Cup 1 - 2019 - Final 1,FJALLSTROM Ludvig - SWE,Men,27.0,SWE,17.2,17.4,17.9,17.8,17.4,8.6,8.0,0,0,0,0,-1.0,-3.0,0.0,2019,2019-World Cup 1,Final 1,81.09,7
MARQUIS Philippe - CAN - World Cup 6 - 2019 - Final 2,MARQUIS Philippe - CAN,Men,31.0,CAN,17.5,17.6,17.8,17.7,17.5,8.9,9.1,1,0,0,0,0.0,0.0,0.0,2019,2019-World Cup 6,Final 2,83.67,2
CAVET Benjamin - FRA - World Cup 5 - 2019 - Final 2,CAVET Benjamin - FRA,Men,26.0,FRA,17.8,17.0,16.6,16.8,17.4,7.9,8.5,1,1,0,0,-3.0,-19.0,0.0,2019,2019-World Cup 5,Final 2,81.63,5
ELOFSSON Felix - SWE - World Cup 6 - 2019 - Final 1,ELOFSSON Felix - SWE,Men,25.0,SWE,16.5,16.6,17.2,17.2,17.3,6.9,6.5,0,0,0,0,0.0,0.0,0.0,2019,2019-World Cup 6,Final 1,77.97,8
THEOCHARIS Sacha - FRA - World Cup 7 - 2019 - Final 1,THEOCHARIS Sacha - FRA,Men,30.0,FRA,16.3,16.5,16.4,16.5,16.3,9.3,9.7,0,0,0,0,-1.0,-3.0,0.0,2019,2019-World Cup 7,Final 1,78.87,9
GRAHAM Matt - AUS - World Cup 4 - 2019 - Final 2,GRAHAM Matt - AUS,Men,26.0,AUS,17.0,17.2,17.0,17.0,17.6,7.8,7.7,1,1,1,1,-2.0,-6.0,0.0,2019,2019-World Cup 4,Final 2,80.94,3
WILSON Bradley - USA - World Cup 7 - 2019 - Final 1,WILSON Bradley - USA,Men,28.0,USA,17.7,17.3,17.6,17.3,17.1,8.0,8.8,1,0,0,0,-1.0,-3.0,0.0,2019,2019-World Cup 7,Final 1,80.94,7
KINGSBURY Mikael - CAN - World Championships - 2019 - Final 2,KINGSBURY Mikael - CAN,Men,28.0,CAN,18.0,17.9,18.2,18.5,18.0,7.4,8.0,1,1,1,1,-1.0,-9.0,0.0,2019,2019-World Championships,Final 2,84.89,1
KINGSBURY Mikael - CAN - World Cup 6 - 2019 - Final 2,KINGSBURY Mikael - CAN,Men,28.0,CAN,18.4,18.4,19.1,19.0,18.2,8.0,7.9,1,1,1,1,0.0,0.0,0.0,2019,2019-World Cup 6,Final 2,86.4,1
KINGSBURY Mikael - CAN - World Cup 2 - 2019 - Final 2,KINGSBURY Mikael - CAN,Men,28.0,CAN,18.7,19.0,19.3,19.2,18.8,9.0,8.8,1,1,1,1,-3.0,-12.0,0.0,2019,2019-World Cup 2,Final 2,90.31,1
BAILEY Hunter - USA - World Cup 3 - 2019 - Final 1,BAILEY Hunter - USA,Men,24.0,USA,16.2,16.5,16.2,16.8,16.0,8.4,8.7,0,0,0,0,-1.0,1.0,0.0,2019,2019-World Cup 3,Final 1,76.83,5
KOLMAKOV Pavel - KAZ - World Cup 4 - 2019 - Final 1,KOLMAKOV Pavel - KAZ,Men,24.0,KAZ,17.0,17.0,15.7,16.1,16.2,7.2,7.2,0,0,0,0,-2.0,-6.0,0.0,2019,2019-World Cup 4,Final 1,78.48,7
HORISHIMA Ikuma - JPN - World Cup 7 - 2019 - Final 2,HORISHIMA Ikuma - JPN,Men,23.0,JPN,18.1,17.8,18.3,17.8,18.0,9.5,9.7,1,1,0,0,-1.0,-3.0,0.0,2019,2019-World Cup 7,Final 2,81.72,1
ELOFSSON Felix - SWE - World Cup 5 - 2019 - Final 1,ELOFSSON Felix - SWE,Men,25.0,SWE,16.4,16.2,16.0,16.5,17.2,7.9,7.9,0,0,0,0,-3.0,-19.0,0.0,2019,2019-World Cup 5,Final 1,76.35,8
HARA Daichi - JPN - World Cup 7 - 2019 - Final 2,HARA Daichi - JPN,Men,23.0,JPN,17.3,17.0,17.2,17.5,17.2,8.9,8.9,1,1,1,1,-1.0,-3.0,0.0,2019,2019-World Cup 7,Final 2,78.03,4
HARA Daichi - JPN - World Cup 4 - 2019 - Final 1,HARA Daichi - JPN,Men,23.0,JPN,14.2,15.8,16.7,16.7,15.6,8.6,8.6,1,1,1,1,-2.0,-6.0,0.0,2019,2019-World Cup 4,Final 1,75.03,11
HORISHIMA Ikuma - JPN - World Cup 4 - 2019 - Final 1,HORISHIMA Ikuma - JPN,Men,23.0,JPN,16.4,15.8,16.0,16.3,15.7,9.6,9.4,1,1,0,0,-2.0,-6.0,0.0,2019,2019-World Cup 4,Final 1,77.04,9
ESCOBAR Jules - FRA - World Cup 5 - 2019 - Final 1,ESCOBAR Jules - FRA,Men,26.0,FRA,16.5,16.0,16.1,16.4,15.2,8.2,7.2,0,0,0,0,-3.0,-19.0,0.0,2019,2019-World Cup 5,Final 1,74.15,11
WALLBERG Walter - SWE - World Cup 6 - 2019 - Final 2,WALLBERG Walter - SWE,Men,20.0,SWE,16.9,17.7,17.5,17.0,16.5,8.5,8.3,0,0,0,0,0.0,0.0,0.0,2019,2019-World Cup 6,Final 2,79.08,5
GRAHAM Matt - AUS - World Cup 3 - 2019 - Final 2,GRAHAM Matt - AUS,Men,26.0,AUS,16.7,16.5,16.9,17.0,17.4,8.3,8.1,1,1,1,1,-1.0,1.0,0.0,2019,2019-World Cup 3,Final 2,77.12,4
WILSON Bradley - USA - World Cup 4 - 2019 - Final 1,WILSON Bradley - USA,Men,28.0,USA,17.1,16.3,17.1,16.7,16.8,8.3,8.0,1,0,0,0,-2.0,-6.0,0.0,2019,2019-World Cup 4,Final 1,80.23,5
KINGSBURY Mikael - CAN - World Cup 6 - 2019 - Final 1,KINGSBURY Mikael - CAN,Men,28.0,CAN,18.3,18.1,18.7,18.4,18.2,8.5,8.0,1,1,1,1,0.0,0.0,0.0,2019,2019-World Cup 6,Final 1,83.99,2
CAVET Benjamin - FRA - World Cup 3 - 2019 - Final 2,CAVET Benjamin - FRA,Men,26.0,FRA,15.5,15.0,15.0,14.5,15.0,8.5,9.4,1,1,0,0,-1.0,1.0,0.0,2019,2019-World Cup 3,Final 2,51.76,6
ANDRINGA Casey - USA - World Cup 4 - 2019 - Final 1,ANDRINGA Casey - USA,Men,25.0,USA,17.2,17.3,16.8,16.9,16.4,8.9,8.3,1,0,1,0,-2.0,-6.0,0.0,2019,2019-World Cup 4,Final 1,81.21,3
HARA Daichi - JPN - World Cup 2 - 2019 - Final 2,HARA Daichi - JPN,Men,23.0,JPN,18.0,18.0,17.7,17.4,17.7,8.8,8.6,1,1,1,1,-3.0,-12.0,0.0,2019,2019-World Cup 2,Final 2,81.25,5
SHIKATA Motoki - JPN - World Cup 1 - 2019 - Final 1,SHIKATA Motoki - JPN,Men,27.0,JPN,17.0,17.2,17.0,16.8,16.7,7.0,7.8,0,0,0,0,-1.0,-3.0,0.0,2019,2019-World Cup 1,Final 1,76.94,13
WALLBERG Walter - SWE - World Cup 4 - 2019 - Final 1,WALLBERG Walter - SWE,Men,20.0,SWE,16.1,16.9,17.2,17.2,16.1,9.2,9.3,0,0,0,0,-2.0,-6.0,0.0,2019,2019-World Cup 4,Final 1,81.74,2
