Athlete_Comp,Metric,Finish,Gender,Judge_1_Score,Judge_2_Score,Judge_3_Score,Judge_4_Score,Judge_5_Score,Judge_6_Score_1,Judge_7_Score_1,Round_Group,Season,Season_Comp,Round,Wind,Athlete_name
CROTTY Lexi - USA - North American Cup 1 - 2019 - Qualification 1,52.48,17,Women,13.6,14.3,13.0,14.3,15.0,4.0,5.0,Qualification,2019,2019-North American Cup 1,Qualification 1,0.0,CROTTY Lexi - USA
LARGE Tegan - USA - North American Cup 1 - 2019 - Qualification 1,49.52,18,Women,15.7,12.3,13.1,13.7,15.7,5.1,4.5,Qualification,2019,2019-North American Cup 1,Qualification 1,0.0,LARGE Tegan - USA
MULDER Jessica - USA - North American Cup 1 - 2019 - Qualification 1,53.72,13,Women,13.7,13.4,14.9,14.3,14.8,4.1,4.9,Qualification,2019,2019-North American Cup 1,Qualification 1,0.0,MULDER Jessica - USA
KOEHLER Kaylee - CAN - North American Cup 1 - 2019 - Qualification 1,54.77,11,Women,14.2,13.9,14.0,14.0,15.7,5.2,4.8,Qualification,2019,2019-North American Cup 1,Qualification 1,0.0,KOEHLER Kaylee - CAN
FUKUSHIMA Shunka - JPN - North American Cup 2 - 2019 - Final 2,80.72,1,Women,17.2,16.8,17.0,17.2,16.8,8.2,8.1,Finals,2019,2019-North American Cup 2,Final 2,0.0,FUKUSHIMA Shunka - JPN
DELSAME Florence - CAN - North American Cup 2 - 2019 - Final 1,70.66,13,Women,16.4,16.4,16.3,16.8,16.6,7.3,8.1,Finals,2019,2019-North American Cup 2,Final 1,0.0,DELSAME Florence - CAN
HOGG Kasey - USA - North American Cup 1 - 2019 - Final 1,73.07,5,Women,15.8,16.6,16.4,16.0,16.2,8.1,7.4,Finals,2019,2019-North American Cup 1,Final 1,0.0,HOGG Kasey - USA
BOSCO Emma - AUS - North American Cup 1 - 2019 - Qualification 1,60.13,1,Women,14.4,14.1,14.9,14.6,15.2,7.8,7.2,Qualification,2019,2019-North American Cup 1,Qualification 1,0.0,BOSCO Emma - AUS
TODD Kassidy - CAN - North American Cup 1 - 2019 - Qualification 1,57.07,8,Women,15.0,15.0,14.8,14.6,16.1,3.9,3.7,Qualification,2019,2019-North American Cup 1,Qualification 1,0.0,TODD Kassidy - CAN
TANIGUCHI Ayaho - JPN - North American Cup 2 - 2019 - Qualification 1,69.54,15,Women,16.6,16.4,16.8,15.7,16.4,5.5,6.2,Qualification,2019,2019-North American Cup 2,Qualification 1,0.0,TANIGUCHI Ayaho - JPN
DESMARAIS GILBERT Laurianne - CAN - North American Cup 1 - 2019 - Final 1,67.95,12,Women,15.7,15.7,15.6,15.7,15.6,8.0,7.2,Finals,2019,2019-North American Cup 1,Final 1,0.0,DESMARAIS GILBERT Laurianne - CAN
