Athlete_Comp,Metric,Finish,Gender,Judge_1_Score,Judge_2_Score,Judge_3_Score,Judge_4_Score,Judge_5_Score,Judge_6_Score_1,Judge_7_Score_1,Round_Group,Season,Season_Comp,Round,Wind,Athlete_name
ITO Miki - JPN - Canadian Selections 2 - 2019 - Qualification 1,70.56,4,Women,17.1,16.8,17.7,16.9,16.3,4.2,5.2,Qualification,2019,2019-Canadian Selections 2,Qualification 1,0.0,ITO Miki - JPN
KOEHLER Kaylee - CAN - Canadian Selections 1 - 2019 - Qualification 1,63.51,9,Women,13.7,14.8,16.6,14.6,15.0,5.1,6.7,Qualification,2019,2019-Canadian Selections 1,Qualification 1,0.0,KOEHLER Kaylee - CAN
MALHERBE Malica - CAN - Canada Cup 2 - 2019 - Final 1,32.44,9,Women,13.0,12.6,13.0,12.9,12.7,5.5,5.7,Finals,2019,2019-Canada Cup 2,Final 1,0.0,MALHERBE Malica - CAN
MIYAMOTO Juri - JPN - Canadian Selections 1 - 2019 - Qualification 1,35.74,16,Women,12.4,12.0,13.6,13.0,14.0,6.3,6.4,Qualification,2019,2019-Canadian Selections 1,Qualification 1,0.0,MIYAMOTO Juri - JPN
BUTTERWORTH Cassidy - CAN - Canadian Selections 1 - 2019 - Qualification 1,44.69,14,Women,14.0,13.3,12.6,13.3,11.4,5.6,6.2,Qualification,2019,2019-Canadian Selections 1,Qualification 1,0.0,BUTTERWORTH Cassidy - CAN
MIKKELSEN Maya - CAN - Canadian Selections 2 - 2019 - Qualification 1,53.72,12,Women,14.0,13.0,13.9,14.6,12.0,5.0,5.6,Qualification,2019,2019-Canadian Selections 2,Qualification 1,0.0,MIKKELSEN Maya - CAN
BEAULIEU Maëlle - CAN - Canada Cup 2 - 2019 - Qualification 1,41.38,15,Women,13.0,13.9,12.9,12.8,12.3,6.4,6.2,Qualification,2019,2019-Canada Cup 2,Qualification 1,0.0,BEAULIEU Maëlle - CAN
LE BRASSARD Noemie - CAN - Canada Cup 1 - 2019 - Qualification 2,49.78,14,Women,13.8,13.0,13.1,13.1,12.4,4.8,4.6,Qualification,2019,2019-Canada Cup 1,Qualification 2,0.0,LE BRASSARD Noemie - CAN
KOEHLER Kaylee - CAN - Canada Cup 2 - 2019 - Qualification 1,74.04,1,Women,16.6,16.7,18.0,16.3,16.1,8.2,8.3,Qualification,2019,2019-Canada Cup 2,Qualification 1,0.0,KOEHLER Kaylee - CAN
MIYAMOTO Juri - JPN - Canadian Selections 2 - 2019 - Qualification 1,60.32,9,Women,14.3,15.7,15.4,15.6,14.6,5.8,6.1,Qualification,2019,2019-Canadian Selections 2,Qualification 1,0.0,MIYAMOTO Juri - JPN
HURRY Kiera - CAN - Canada Cup 1 - 2019 - Qualification 1,44.13,20,Women,12.3,12.2,12.3,13.4,14.2,3.8,4.2,Qualification,2019,2019-Canada Cup 1,Qualification 1,0.0,HURRY Kiera - CAN
TODD Kassidy - CAN - Canada Cup 1 - 2019 - Qualification 1,60.13,7,Women,15.8,15.6,16.1,15.6,15.8,6.0,6.1,Qualification,2019,2019-Canada Cup 1,Qualification 1,0.0,TODD Kassidy - CAN
