Athlete_Comp,Metric,Finish,Gender,Judge_1_Score,Judge_2_Score,Judge_3_Score,Judge_4_Score,Judge_5_Score,Judge_6_Score_1,Judge_7_Score_1,Round_Group,Season,Season_Comp,Round,Wind,Athlete_name
FJALLSTROM Ludvig - SWE - World Cup 5 - 2019 - Qualification 1,70.56,23,Men,15.0,15.5,16.1,16.4,15.8,7.4,7.0,Qualification,2019,2019-World Cup 5,Qualification 1,0.0,FJALLSTROM Ludvig - SWE
PAVLENKO Aleksey - RUS - World Cup 1 - 2019 - Qualification 1,67.32,34,Men,14.7,14.8,14.7,15.0,15.0,8.0,7.8,Qualification,2019,2019-World Cup 1,Qualification 1,0.0,PAVLENKO Aleksey - RUS
WILLIS Max - GBR - World Cup 5 - 2019 - Qualification 1,29.76,52,Men,13.0,11.2,14.0,13.8,10.1,5.2,5.6,Qualification,2019,2019-World Cup 5,Qualification 1,0.0,WILLIS Max - GBR
ELOFSSON Felix - SWE - World Cup 2 - 2019 - Final 1,57.84,15,Men,16.5,16.5,17.1,16.1,16.1,7.0,7.1,Finals,2019,2019-World Cup 2,Final 1,0.0,ELOFSSON Felix - SWE
CHEVSKII Ilia - RUS - World Cup 3 - 2019 - Qualification 1,67.27,34,Men,16.0,14.5,13.9,14.2,14.4,7.0,8.2,Qualification,2019,2019-World Cup 3,Qualification 1,0.0,CHEVSKII Ilia - RUS
HORISHIMA Ikuma - JPN - World Cup 5 - 2019 - Final 2,85.02,2,Men,18.1,17.2,18.0,17.8,18.1,9.1,9.9,Finals,2019,2019-World Cup 5,Final 2,0.0,HORISHIMA Ikuma - JPN
ELOFSSON Oskar - SWE - World Cup 3 - 2019 - Qualification 1,70.04,27,Men,16.0,14.5,15.3,16.9,15.7,7.3,7.1,Qualification,2019,2019-World Cup 3,Qualification 1,0.0,ELOFSSON Oskar - SWE
KINGSBURY Mikael - CAN - World Cup 1 - 2019 - Final 2,88.14,1,Men,18.1,18.3,18.1,18.2,18.2,9.5,9.7,Finals,2019,2019-World Cup 1,Final 2,0.0,KINGSBURY Mikael - CAN
HORISHIMA Ikuma - JPN - World Cup 2 - 2019 - Qualification 1,76.93,14,Men,15.9,16.0,16.9,16.0,17.5,7.8,7.8,Qualification,2019,2019-World Cup 2,Qualification 1,0.0,HORISHIMA Ikuma - JPN
HORISHIMA Ikuma - JPN - World Cup 6 - 2019 - Final 1,84.03,1,Men,18.1,17.4,17.9,17.9,18.2,9.2,9.0,Finals,2019,2019-World Cup 6,Final 1,0.0,HORISHIMA Ikuma - JPN
MARQUIS Philippe - CAN - World Cup 4 - 2019 - Final 1,77.64,8,Men,16.8,16.8,16.7,16.9,16.7,9.5,8.6,Finals,2019,2019-World Cup 4,Final 1,0.0,MARQUIS Philippe - CAN
NILSSON Loke - SWE - World Cup 4 - 2019 - Qualification 1,68.0,40,Men,15.0,16.1,15.0,15.6,14.9,5.2,6.0,Qualification,2019,2019-World Cup 4,Qualification 1,0.0,NILSSON Loke - SWE
BAILEY Hunter - USA - World Cup 3 - 2019 - Qualification 1,74.71,14,Men,16.2,16.2,15.8,16.5,16.0,7.9,7.0,Qualification,2019,2019-World Cup 3,Qualification 1,0.0,BAILEY Hunter - USA
RETZER Mathew - CZE - World Championships - 2019 - Qualification 2,40.38,20,Men,14.2,13.2,12.1,14.2,13.6,2.2,2.5,Qualification,2019,2019-World Championships,Qualification 2,0.0,RETZER Mathew - CZE
KINGSBURY Mikael - CAN - World Cup 5 - 2019 - Final 2,86.73,1,Men,18.0,18.3,18.0,18.3,17.9,8.1,8.9,Finals,2019,2019-World Cup 5,Final 2,0.0,KINGSBURY Mikael - CAN
CHUNLAUD Kerrian - CAN - World Cup 7 - 2019 - Qualification 1,55.27,33,Men,13.3,15.0,15.1,14.8,15.1,5.8,5.8,Qualification,2019,2019-World Cup 7,Qualification 1,0.0,CHUNLAUD Kerrian - CAN
HORISHIMA Ikuma - JPN - World Cup 2 - 2019 - Final 1,88.1,1,Men,18.2,18.1,18.2,18.3,17.6,9.0,9.0,Finals,2019,2019-World Cup 2,Final 1,0.0,HORISHIMA Ikuma - JPN
WILLIS Max - GBR - World Cup 1 - 2019 - Qualification 1,24.07,55,Men,10.0,11.5,12.0,10.2,11.0,3.0,3.7,Qualification,2019,2019-World Cup 1,Qualification 1,0.0,WILLIS Max - GBR
ANDRINGA Casey - USA - World Cup 6 - 2019 - Final 1,77.69,10,Men,17.5,16.8,17.3,17.0,17.0,8.2,8.3,Finals,2019,2019-World Cup 6,Final 1,0.0,ANDRINGA Casey - USA
WALCZYK Dylan - USA - World Championships - 2019 - Qualification 1,74.04,10,Men,16.4,16.7,15.9,16.6,15.4,7.0,7.0,Qualification,2019,2019-World Championships,Qualification 1,0.0,WALCZYK Dylan - USA
HARA Daichi - JPN - World Cup 6 - 2019 - Qualification 1,79.23,4,Men,17.6,17.7,16.5,16.4,16.9,8.8,7.8,Qualification,2019,2019-World Cup 6,Qualification 1,0.0,HARA Daichi - JPN
GRAHAM Matt - AUS - World Cup 5 - 2019 - Final 1,80.13,4,Men,16.7,17.3,17.1,17.4,17.6,7.6,7.7,Finals,2019,2019-World Cup 5,Final 1,0.0,GRAHAM Matt - AUS
ESCOBAR Jules - FRA - World Cup 2 - 2019 - Qualification 1,80.0,5,Men,16.8,17.0,17.7,18.1,16.9,9.0,8.8,Qualification,2019,2019-World Cup 2,Qualification 1,0.0,ESCOBAR Jules - FRA
WANG Haoran - CHN - World Championships - 2019 - Qualification 2,27.74,23,Men,13.0,12.0,11.1,9.8,11.5,4.0,3.7,Qualification,2019,2019-World Championships,Qualification 2,0.0,WANG Haoran - CHN
CHUNLAUD Kerrian - CAN - World Cup 3 - 2019 - Qualification 1,69.78,28,Men,15.5,16.5,15.5,16.2,14.0,6.9,7.6,Qualification,2019,2019-World Cup 3,Qualification 1,0.0,CHUNLAUD Kerrian - CAN
MARQUIS Philippe - CAN - World Cup 6 - 2019 - Final 1,80.72,4,Men,17.6,17.6,17.3,17.5,17.4,9.1,9.3,Finals,2019,2019-World Cup 6,Final 1,0.0,MARQUIS Philippe - CAN
GRAHAM Matt - AUS - World Cup 1 - 2019 - Qualification 1,78.47,8,Men,17.6,17.0,17.3,16.9,16.7,8.8,8.1,Qualification,2019,2019-World Cup 1,Qualification 1,0.0,GRAHAM Matt - AUS
HARA Daichi - JPN - World Cup 1 - 2019 - Final 1,78.47,10,Men,17.5,17.3,17.7,17.4,17.6,7.0,8.0,Finals,2019,2019-World Cup 1,Final 1,0.0,HARA Daichi - JPN
MASYRA Oleh - UKR - World Championships - 2019 - Qualification 2,38.33,21,Men,13.7,13.1,11.5,12.1,13.5,4.8,5.0,Qualification,2019,2019-World Championships,Qualification 2,0.0,MASYRA Oleh - UKR
FUJIKI Goshin - JPN - World Championships - 2019 - Qualification 1,70.38,19,Men,16.3,16.4,16.3,16.1,15.7,7.7,6.5,Qualification,2019,2019-World Championships,Qualification 1,0.0,FUJIKI Goshin - JPN
MAKHNEV Andrei - RUS - World Cup 1 - 2019 - Qualification 1,76.85,9,Men,16.7,16.7,16.7,17.4,16.5,8.5,8.2,Qualification,2019,2019-World Cup 1,Qualification 1,0.0,MAKHNEV Andrei - RUS
DUFRESNE Gabriel - CAN - World Cup 2 - 2019 - Qualification 1,75.94,18,Men,15.7,15.5,16.0,15.6,15.5,8.6,9.2,Qualification,2019,2019-World Cup 2,Qualification 1,0.0,DUFRESNE Gabriel - CAN
WALCZYK Dylan - USA - World Cup 4 - 2019 - Final 1,75.94,10,Men,16.3,15.7,15.7,16.5,15.7,6.8,6.8,Finals,2019,2019-World Cup 4,Final 1,0.0,WALCZYK Dylan - USA
