Athlete_Comp_ID,Athlete_name,Gender,age_yrs,Nation,Judge_1_Score,Judge_2_Score,Judge_3_Score,Judge_4_Score,Judge_5_Score,Judge_6_Score_1,Judge_7_Score_1,Major_Finalist,Major_Medalist,Olympic_Finalist,Olympic_Medalist,Temp_Snow,Temp_Air,Wind,Season,Season_Comp,Round,Score_Metric,Finish_Rank
SEO Jee Won - KOR - World Cup 1 - 2016 - Final 1,SEO Jee Won - KOR,Women,26.0,KOR,16.0,16.8,14.8,15.5,15.8,5.6,5.9,0,0,0,0,-10.0,-15.0,3.0,2016,2016-World Cup 1,Final 1,73.11,14
PERTAKHIYA Marika - OAR - World Cup 2 - 2016 - Final 1,PERTAKHIYA Marika - OAR,Women,28.0,OAR,15.7,15.8,15.4,15.4,15.8,7.0,6.6,1,0,0,0,-3.0,3.0,3.9,2016,2016-World Cup 2,Final 1,71.77,9
NAUDE Andi - CAN - World Cup 2 - 2016 - Final 1,NAUDE Andi - CAN,Women,24.0,CAN,16.6,15.5,15.7,15.7,16.1,4.7,5.8,1,0,1,0,-3.0,3.0,3.9,2016,2016-World Cup 2,Final 1,73.29,4
COX Britteny - AUS - World Cup 1 - 2016 - Final 1,COX Britteny - AUS,Women,26.0,AUS,16.2,16.8,17.5,16.5,16.3,7.5,7.3,1,1,1,0,-10.0,-15.0,3.0,2016,2016-World Cup 1,Final 1,81.45,7
KAUF Jaelin - USA - World Cup 1 - 2016 - Final 1,KAUF Jaelin - USA,Women,24.0,USA,16.4,16.0,15.4,16.0,17.4,6.2,5.8,1,0,0,0,-10.0,-15.0,3.0,2016,2016-World Cup 1,Final 1,73.22,13
ROBICHAUD Audrey - CAN - World Cup 1 - 2016 - Final 1,ROBICHAUD Audrey - CAN,Women,32.0,CAN,16.5,16.2,16.5,16.3,16.0,5.6,5.0,0,0,0,0,-10.0,-15.0,3.0,2016,2016-World Cup 1,Final 1,71.11,16
GAGNON Alex Anne - CAN - World Cup 1 - 2016 - Final 1,GAGNON Alex Anne - CAN,Women,25.0,CAN,16.6,16.9,15.4,16.0,17.2,5.8,5.3,0,0,0,0,-10.0,-15.0,3.0,2016,2016-World Cup 1,Final 1,77.06,12
LAFFONT Perrine - FRA - World Cup 3 - 2016 - Final 1,LAFFONT Perrine - FRA,Women,22.0,FRA,16.7,17.5,16.2,16.8,16.1,6.8,6.4,1,1,1,1,-4.0,-4.0,1.6,2016,2016-World Cup 3,Final 1,74.36,9
SCANZIO Deborah - SUI - World Cup 1 - 2016 - Final 1,SCANZIO Deborah - SUI,Women,34.0,SUI,16.8,16.7,16.1,16.2,16.6,5.8,5.9,0,0,0,0,-10.0,-15.0,3.0,2016,2016-World Cup 1,Final 1,79.47,8
GALYSHEVA Yulia - KAZ - World Cup 1 - 2016 - Final 1,GALYSHEVA Yulia - KAZ,Women,28.0,KAZ,15.9,15.2,15.3,16.4,17.4,8.0,7.8,1,1,1,1,-10.0,-15.0,3.0,2016,2016-World Cup 1,Final 1,81.73,6
