Athlete_Comp_ID,Athlete_name,Gender,age_yrs,Nation,Judge_1_Score,Judge_2_Score,Judge_3_Score,Judge_4_Score,Judge_5_Score,Judge_6_Score_1,Judge_7_Score_1,Major_Finalist,Major_Medalist,Olympic_Finalist,Olympic_Medalist,Temp_Snow,Temp_Air,Wind,Season,Season_Comp,Round,Score_Metric,Finish_Rank
ANDISON Robbie - CAN - North American Cup 1 - 2019 - Final 2,ANDISON Robbie - CAN,Men,23.0,CAN,17.6,16.5,15.5,16.9,15.9,9.4,9.2,0,0,0,0,0.0,0.0,0.0,2019,2019-North American Cup 1,Final 2,61.74,5
STIEFEL Adam - USA - North American Cup 1 - 2019 - Final 1,STIEFEL Adam - USA,Men,19.0,USA,15.0,16.0,14.8,15.4,12.0,8.1,8.0,0,0,0,0,0.0,0.0,0.0,2019,2019-North American Cup 1,Final 1,49.03,16
ANDISON Robbie - CAN - North American Cup 1 - 2019 - Final 1,ANDISON Robbie - CAN,Men,23.0,CAN,16.8,17.8,17.4,17.6,17.3,8.6,8.6,0,0,0,0,0.0,0.0,0.0,2019,2019-North American Cup 1,Final 1,79.69,3
HEIMS Kalman - USA - North American Cup 2 - 2019 - Final 1,HEIMS Kalman - USA,Men,20.0,USA,18.2,18.3,17.9,18.2,18.0,8.7,8.8,0,0,0,0,0.0,0.0,0.0,2019,2019-North American Cup 2,Final 1,83.04,4
PORTELLO Ryan - CAN - North American Cup 2 - 2019 - Final 1,PORTELLO Ryan - CAN,Men,23.0,CAN,18.0,17.8,17.7,18.0,17.4,8.1,8.0,0,0,0,0,0.0,0.0,0.0,2019,2019-North American Cup 2,Final 1,80.74,10
KOBER Jordan - CAN - North American Cup 1 - 2019 - Final 1,KOBER Jordan - CAN,Men,24.0,CAN,16.3,18.0,17.1,17.3,17.6,7.7,8.2,0,0,0,0,0.0,0.0,0.0,2019,2019-North American Cup 1,Final 1,78.24,9
PAGE Nick - USA - North American Cup 1 - 2019 - Final 1,PAGE Nick - USA,Men,18.0,USA,16.7,18.0,17.2,16.9,17.0,7.4,7.5,0,0,0,0,0.0,0.0,0.0,2019,2019-North American Cup 1,Final 1,76.37,12
WOODS TOPALOVIC Cooper - AUS - North American Cup 2 - 2019 - Final 1,WOODS TOPALOVIC Cooper - AUS,Men,20.0,AUS,17.5,17.9,17.5,17.8,17.9,10.0,10.0,0,0,0,0,0.0,0.0,0.0,2019,2019-North American Cup 2,Final 1,81.43,8
KURODA Brayden - CAN - North American Cup 2 - 2019 - Final 2,KURODA Brayden - CAN,Men,19.0,CAN,18.4,18.2,17.9,18.1,18.1,8.2,8.4,0,0,0,0,0.0,0.0,0.0,2019,2019-North American Cup 2,Final 2,81.82,5
PAGE Nick - USA - North American Cup 2 - 2019 - Final 2,PAGE Nick - USA,Men,18.0,USA,18.2,18.4,18.3,18.0,18.0,8.6,8.8,0,0,0,0,0.0,0.0,0.0,2019,2019-North American Cup 2,Final 2,86.07,1
