Athlete_Comp,Athlete_name,Gender,age_yrs,Nation,Judge_1_Score,Judge_2_Score,Judge_3_Score,Judge_4_Score,Judge_5_Score,Judge_6_Score_1,Judge_7_Score_1,Major_Finalist,Major_Medalist,Olympic_Finalist,Olympic_Medalist,Temp_Snow,Temp_Air,Wind,Season,Season_Comp,Round,Metric,Finish
ANTHONY Jakara - AUS - World Cup 4 - 2019 - Qualification 1,ANTHONY Jakara - AUS,Women,22.0,AUS,16.1,16.8,16.5,15.8,16.3,7.6,8.2,1,1,1,0,-4.0,-18.0,0.0,2019,2019-World Cup 4,Qualification 1,74.71,3
BAILEY Hunter - USA - World Cup 3 - 2019 - Qualification 1,BAILEY Hunter - USA,Men,24.0,USA,16.2,16.2,15.8,16.5,16.0,7.9,7.0,0,0,0,0,-1.0,-3.0,0.0,2019,2019-World Cup 3,Qualification 1,74.71,14
RETZER Mathew - CZE - World Championships - 2019 - Qualification 2,RETZER Mathew - CZE,Men,25.0,CZE,14.2,13.2,12.1,14.2,13.6,2.2,2.5,0,0,0,0,0.0,-6.0,0.0,2019,2019-World Championships,Qualification 2,40.38,20
BOUARD Lea - FRA - World Cup 1 - 2019 - Qualification 1,BOUARD Lea - FRA,Women,24.0,FRA,16.2,15.5,14.8,15.2,15.6,5.9,6.0,0,0,0,0,-1.0,-3.0,0.0,2019,2019-World Cup 1,Qualification 1,66.56,19
GERKEN SCHOFIELD Makayla - GBR - World Cup 1 - 2019 - Qualification 1,GERKEN SCHOFIELD Makayla - GBR,Women,21.0,GBR,14.6,14.1,16.3,15.0,14.3,6.8,7.3,0,0,0,0,-1.0,-3.0,0.0,2019,2019-World Cup 1,Qualification 1,66.28,20
KINGSBURY Mikael - CAN - World Cup 5 - 2019 - Final 2,KINGSBURY Mikael - CAN,Men,28.0,CAN,18.0,18.3,18.0,18.3,17.9,8.1,8.9,1,1,1,1,-3.0,-19.0,0.0,2019,2019-World Cup 5,Final 2,86.73,1
GIACCIO Olivia - USA - World Cup 5 - 2019 - Final 1,GIACCIO Olivia - USA,Women,20.0,USA,15.0,14.1,14.7,15.2,14.8,6.5,8.1,0,0,0,0,-3.0,-19.0,0.0,2019,2019-World Cup 5,Final 1,70.22,9
GAGNON Sofiane - CAN - World Cup 5 - 2019 - Final 1,GAGNON Sofiane - CAN,Women,21.0,CAN,15.2,15.4,14.9,15.4,15.0,6.5,6.4,0,0,0,0,-3.0,-19.0,0.0,2019,2019-World Cup 5,Final 1,70.22,8
CHUNLAUD Kerrian - CAN - World Cup 7 - 2019 - Qualification 1,CHUNLAUD Kerrian - CAN,Men,27.0,CAN,13.3,15.0,15.1,14.8,15.1,5.8,5.8,0,0,0,0,-1.0,-3.0,0.0,2019,2019-World Cup 7,Qualification 1,55.27,33
HORISHIMA Ikuma - JPN - World Cup 2 - 2019 - Final 1,HORISHIMA Ikuma - JPN,Men,23.0,JPN,18.2,18.1,18.2,18.3,17.6,9.0,9.0,1,1,0,0,-3.0,-12.0,0.0,2019,2019-World Cup 2,Final 1,88.1,1
SCHWINGHAMMER Maia - CAN - World Cup 5 - 2019 - Qualification 1,SCHWINGHAMMER Maia - CAN,Women,19.0,CAN,14.0,14.4,14.1,14.3,15.0,8.0,7.0,0,0,0,0,-3.0,-19.0,0.0,2019,2019-World Cup 5,Qualification 1,67.71,14
WILLIS Max - GBR - World Cup 1 - 2019 - Qualification 1,WILLIS Max - GBR,Men,27.0,GBR,10.0,11.5,12.0,10.2,11.0,3.0,3.7,0,0,0,0,0.0,-3.0,0.0,2019,2019-World Cup 1,Qualification 1,24.07,55
ANDRINGA Casey - USA - World Cup 6 - 2019 - Final 1,ANDRINGA Casey - USA,Men,25.0,USA,17.5,16.8,17.3,17.0,17.0,8.2,8.3,1,0,1,0,0.0,0.0,0.0,2019,2019-World Cup 6,Final 1,77.69,10
WALCZYK Dylan - USA - World Championships - 2019 - Qualification 1,WALCZYK Dylan - USA,Men,27.0,USA,16.4,16.7,15.9,16.6,15.4,7.0,7.0,0,0,0,0,-1.0,-6.0,0.0,2019,2019-World Championships,Qualification 1,74.04,10
HARA Daichi - JPN - World Cup 6 - 2019 - Qualification 1,HARA Daichi - JPN,Men,23.0,JPN,17.6,17.7,16.5,16.4,16.9,8.8,7.8,1,1,1,1,-2.0,2.0,0.0,2019,2019-World Cup 6,Qualification 1,79.23,4
GRAHAM Matt - AUS - World Cup 5 - 2019 - Final 1,GRAHAM Matt - AUS,Men,26.0,AUS,16.7,17.3,17.1,17.4,17.6,7.6,7.7,1,1,1,1,-3.0,-19.0,0.0,2019,2019-World Cup 5,Final 1,80.13,4
ESCOBAR Jules - FRA - World Cup 2 - 2019 - Qualification 1,ESCOBAR Jules - FRA,Men,26.0,FRA,16.8,17.0,17.7,18.1,16.9,9.0,8.8,0,0,0,0,-3.0,-12.0,0.0,2019,2019-World Cup 2,Qualification 1,80.0,5
WANG Haoran - CHN - World Championships - 2019 - Qualification 2,WANG Haoran - CHN,Men,22.0,CHN,13.0,12.0,11.1,9.8,11.5,4.0,3.7,0,0,0,0,0.0,-6.0,0.0,2019,2019-World Championships,Qualification 2,27.74,23
TOMITAKA Hinako - JPN - World Cup 3 - 2019 - Final 1,TOMITAKA Hinako - JPN,Women,20.0,JPN,15.5,14.8,15.3,15.0,15.8,8.0,8.0,0,0,0,0,-1.0,1.0,0.0,2019,2019-World Cup 3,Final 1,69.78,12
CHUNLAUD Kerrian - CAN - World Cup 3 - 2019 - Qualification 1,CHUNLAUD Kerrian - CAN,Men,27.0,CAN,15.5,16.5,15.5,16.2,14.0,6.9,7.6,0,0,0,0,-1.0,-3.0,0.0,2019,2019-World Cup 3,Qualification 1,69.78,28
MARQUIS Philippe - CAN - World Cup 6 - 2019 - Final 1,MARQUIS Philippe - CAN,Men,31.0,CAN,17.6,17.6,17.3,17.5,17.4,9.1,9.3,1,0,0,0,0.0,0.0,0.0,2019,2019-World Cup 6,Final 1,80.72,4
